stim_idx,layer,parse_ok,cjk,error,n_words,quoted_token_ok,n_expecting_cands,expect_hit,expect_hit_shuffled,jaccard_vs_L20,cos_AR_h_l,cos_AR_h20,cos_h_l_h20
5,20,True,False,,107,False,0,False,False,1.0,0.9065484872402003,0.9065484872402003,1.0
6,16,True,False,,105,True,2,False,False,0.3469387755102041,0.7237054852431856,0.8026031773234884,0.7538425692113939
6,27,True,False,,97,False,2,False,False,0.17592592592592593,0.08971002384357599,0.22896446214233945,0.18957001953794583
6,20,True,False,,101,True,3,False,False,1.0,0.8088752239783188,0.8088752239783188,1.0000000000000002
7,16,True,False,,106,True,3,False,False,0.5238095238095238,0.7730591466420932,0.8708870457088358,0.8047970338167295
7,27,True,False,,91,False,4,False,False,0.1782178217821782,0.0930343003680424,0.38581943504020605,0.09394065441953703
7,20,True,False,,95,False,3,True,False,1.0,0.8796824805517404,0.8796824805517404,1.0000000000000002
8,16,True,False,,111,True,0,False,False,0.5,0.7691132925503879,0.9134476974568135,0.8182828581438447
8,27,True,True,,94,False,3,False,False,0.17543859649122806,0.1361325729168005,0.43331671890005274,0.13637003556949462
8,20,True,False,,108,True,0,False,False,1.0,0.9146871224114556,0.9146871224114556,1.0
9,16,True,False,,97,True,2,False,False,0.5432098765432098,0.639686642041618,0.743809175913074,0.6779258236189555
9,27,True,False,,96,False,3,False,False,0.17142857142857143,0.0831356419315864,0.34123311086887603,0.20429767800450052
9,20,True,False,,96,True,2,False,False,1.0,0.7848176541400378,0.7848176541400378,1.0
10,16,True,False,,85,False,3,True,False,0.5119047619047619,0.7433600920644894,0.8638498067562154,0.7777188661466281
10,27,True,False,,91,False,3,False,False,0.20408163265306123,0.0988903179305741,0.43755021424671375,0.1338990455115943
10,20,True,False,,92,False,2,True,False,1.0,0.8584160898919533,0.8584160898919533,1.0
11,16,True,False,,92,True,4,False,False,0.44155844155844154,0.7312267956302552,0.8502067940871362,0.7725963353628272
11,27,True,False,,98,False,3,False,False,0.2127659574468085,0.11119574956930238,0.4756635035865569,0.2168412997361227
11,20,True,False,,91,True,2,False,False,1.0,0.8938113981180289,0.8938113981180289,1.0
12,16,True,False,,99,True,3,False,False,0.3181818181818182,0.7943372606345286,0.940948571975598,0.840748294211192
12,27,True,False,,96,False,3,False,False,0.1271186440677966,0.10031258357991653,0.3985406121195617,0.10459561387676597
12,20,True,False,,98,True,4,False,False,1.0,0.9401713122204303,0.9401713122204303,1.0
13,16,True,False,,96,True,0,False,False,0.39,0.7798269163521109,0.8759944093078375,0.8434919894899695
13,27,True,False,,91,False,2,False,False,0.11764705882352941,0.08755846231910726,0.45032734916113776,0.12493265233995314
13,20,True,True,,93,True,3,False,False,1.0,0.9221163383205818,0.9221163383205818,1.0
14,16,True,False,,103,True,3,True,False,0.31958762886597936,0.8304567959924957,0.9143578859475661,0.8355195256067085
14,27,True,False,,90,False,4,False,False,0.12380952380952381,0.04163001253755965,0.4616020808323704,0.06937052439016786
14,20,True,False,,107,True,4,True,False,1.0,0.9349974426457643,0.9349974426457643,0.9999999999999999
15,16,True,False,,107,True,3,True,False,0.43010752688172044,0.7827639061518316,0.9089769182150627,0.8294293798984034
15,27,True,False,,98,False,2,False,False,0.19047619047619047,0.07924540219545738,0.3344586715378566,0.14490149370380404
15,20,True,False,,110,True,4,True,False,1.0,0.8982661786648177,0.8982661786648177,1.0
16,16,True,False,,111,True,3,False,False,0.3425925925925926,0.7554975125912737,0.8597018056436493,0.8002203445116641
16,27,True,False,,95,False,4,False,False,0.18018018018018017,0.13601158652878226,0.3713458882245776,0.14866522989718767
16,20,True,False,,104,True,5,False,False,1.0,0.8820226317726803,0.8820226317726803,1.0000000000000002
17,16,True,False,,105,True,0,False,False,0.4880952380952381,0.7953582168564207,0.9240973198859754,0.8467743666070783
17,27,True,False,,99,False,0,False,False,0.14545454545454545,0.0527095979790243,0.3725527540792037,0.13585928420727292
17,20,True,False,,102,True,0,False,False,1.0,0.9275991143947511,0.9275991143947511,1.0
18,16,True,False,,102,True,3,True,False,0.4065934065934066,0.7082065511934932,0.8855807852548803,0.7359543701732982
18,27,True,False,,102,False,3,False,False,0.29473684210526313,0.18597663644558493,0.5429014811108711,0.265128466983212
18,20,True,False,,99,True,2,True,False,1.0,0.8913616395173302,0.8913616395173302,1.0
19,16,True,False,,106,True,0,False,False,0.3055555555555556,0.7560721857395872,0.9016296272219337,0.7976026873632841
19,27,True,False,,96,False,3,False,False,0.1391304347826087,0.1541047428716599,0.49578359584507425,0.16130296873348493
19,20,True,False,,100,True,3,True,False,1.0,0.9093434584934846,0.9093434584934846,1.0000000000000002
20,16,True,False,,115,True,3,False,False,0.3486238532110092,0.7214280788318387,0.8425137924123235,0.7467841345828277
20,27,True,False,,86,False,4,False,False,0.16964285714285715,0.1387125923946462,0.43271338054990616,0.19580292489433124
20,20,True,False,,110,True,3,True,False,1.0,0.8866964212357636,0.8866964212357636,1.0000000000000002
21,16,True,False,,91,True,0,False,False,0.4044943820224719,0.690435840618761,0.8795440061200769,0.7570988792721338
21,27,True,False,,87,False,3,False,False,0.22857142857142856,0.09541955037891142,0.39822342510094577,0.1091858449741388
21,20,True,False,,92,False,2,False,False,1.0,0.8840700223043975,0.8840700223043975,0.9999999999999999
22,16,True,False,,100,False,3,False,False,0.5,0.7543808555483652,0.8493218222066055,0.7656588148097109
22,27,True,False,,98,False,3,False,False,0.22641509433962265,0.01836141903976622,0.3382620947409691,0.18604753455928652
22,20,True,False,,102,False,4,False,False,1.0,0.853309744571527,0.853309744571527,0.9999999999999999
23,16,True,False,,95,True,0,False,False,0.2672413793103448,0.8164495934856802,0.9166570389007421,0.8558265033118988
23,27,True,True,,94,False,3,False,False,0.17094017094017094,0.10511764407102028,0.37456845035249464,0.12643419914984258
23,20,True,False,,99,True,4,False,False,1.0,0.9224282416131006,0.9224282416131006,0.9999999999999999
24,16,True,False,,100,True,4,True,False,0.4215686274509804,0.8066285628474513,0.8952458212249763,0.8345184187803035
24,27,True,False,,95,False,3,False,False,0.16101694915254236,0.06499676978424206,0.5051112897027312,0.1397053916321379
24,20,True,False,,105,True,3,True,False,1.0,0.9041422427443225,0.9041422427443225,0.9999999999999999
25,16,True,False,,101,True,0,False,False,0.40404040404040403,0.7960598009047687,0.9226555211922698,0.804265648990894
25,27,True,False,,98,False,3,True,False,0.1391304347826087,0.08154813377855312,0.3416676456568285,0.1543708510860199
25,20,True,False,,97,True,0,False,False,1.0,0.9126156837004097,0.9126156837004097,1.0
26,16,True,False,,105,True,3,True,False,0.38461538461538464,0.7570216872982638,0.8350662497236024,0.8026645391587032
26,27,True,False,,94,False,0,False,False,0.21551724137931033,0.10484325164239496,0.5574705771473891,0.18674159659303652
26,20,True,False,,112,True,3,True,False,1.0,0.9058118201207965,0.9058118201207965,1.0000000000000002
27,16,True,False,,91,True,3,True,False,0.5131578947368421,0.7862520664095582,0.9031289640159388,0.8444908017982808
27,27,True,False,,86,False,3,True,False,0.2857142857142857,0.12394092902538276,0.4392240816315767,0.1998059542104013
27,20,True,False,,93,True,3,True,False,1.0,0.9131462232734604,0.9131462232734604,1.0
28,16,True,False,,91,False,3,True,True,0.38636363636363635,0.707261781214741,0.8865349638763718,0.7691591377146736
28,27,True,False,,88,False,3,True,True,0.21875,0.1008185758707415,0.4713874092087968,0.2133797534380563
28,20,True,False,,96,False,3,True,True,1.0,0.8619692295153444,0.8619692295153444,0.9999999999999999
29,16,True,False,,81,True,2,False,False,0.33695652173913043,0.735982035253917,0.7536359091939744,0.7205215460084649
29,27,True,False,,99,False,0,False,False,0.18691588785046728,0.07724444241475267,0.32513092751511036,0.18612176026244545
29,20,True,False,,84,True,0,False,False,1.0,0.7934917735082035,0.7934917735082035,1.0
30,16,True,False,,106,True,0,False,False,0.4939759036144578,0.7175278334649433,0.8843188726392547,0.780085119405103
30,27,True,False,,82,False,3,False,False,0.18446601941747573,0.06399984866568637,0.23878180927391912,0.22033239896900708
30,20,True,False,,111,True,3,True,False,1.0,0.8849677179886848,0.8849677179886848,1.0
31,16,True,False,,107,True,4,False,False,0.25663716814159293,0.8261655310214677,0.9199865868252363,0.8421793039616778
31,27,True,False,,92,False,3,False,False,0.12,0.022953210432403618,0.45990669986331895,0.05874984772024212
31,20,True,False,,109,True,3,False,False,1.0,0.9395076679533975,0.9395076679533975,1.0
32,16,True,False,,104,True,3,True,False,0.3870967741935484,0.7923127498541878,0.9557029257426237,0.8349961869111693
32,27,True,False,,96,False,3,False,False,0.11206896551724138,0.10475179271913966,0.32134216223024614,0.05907557906320452
32,20,True,False,,97,True,2,True,False,1.0,0.9637360001133245,0.9637360001133245,1.0000000000000002
33,16,True,False,,105,True,4,False,False,0.4489795918367347,0.7952192549293222,0.9152247865182207,0.8335415313301278
33,27,True,False,,94,False,3,False,False,0.1504424778761062,0.06523924970475202,0.36717492970988624,0.11077869817579612
33,20,True,False,,105,False,4,False,False,1.0,0.9256380498548303,0.9256380498548303,1.0
34,16,True,False,,99,False,0,False,False,0.35185185185185186,0.7905748111215649,0.8970923270438084,0.8758346463898918
34,27,True,False,,92,False,3,True,False,0.14912280701754385,0.11840610908279643,0.5691836584153813,0.21205286234147788
34,20,True,False,,98,False,0,False,False,1.0,0.8721292975890945,0.8721292975890945,1.0
35,16,True,False,,94,True,0,False,False,0.4883720930232558,0.7763051630110172,0.9329258097627806,0.8140067521669274
35,27,True,False,,94,False,3,False,False,0.125,0.10393065030475569,0.4637441610038942,0.1017164054586911
35,20,True,False,,93,True,3,False,False,1.0,0.9355693404990043,0.9355693404990043,1.0
36,16,True,False,,91,False,4,False,False,0.4431818181818182,0.7549930048248369,0.8809681117425578,0.829926217872809
36,27,True,False,,97,False,0,False,False,0.15384615384615385,0.09490955623549063,0.4422200515519215,0.08878685274812048
36,20,True,False,,101,False,4,False,False,1.0,0.8776994557850186,0.8776994557850186,1.0
37,16,True,False,,118,True,3,True,False,0.36936936936936937,0.7298538038471225,0.8356087799290461,0.7739481380645509
37,27,True,True,,92,False,3,True,False,0.17054263565891473,0.12119091430757323,0.5693266617168228,0.21122031983598033
37,20,True,False,,114,True,2,True,False,1.0,0.8578541046282586,0.8578541046282586,0.9999999999999999
38,16,True,False,,86,False,0,False,False,0.42168674698795183,0.7637263006621271,0.9091244258242344,0.8478380953553829
38,27,True,False,,102,False,3,True,False,0.17592592592592593,0.11513621330112754,0.44163175979925123,0.16755425915484137
38,20,True,False,,89,False,2,True,False,1.0,0.9057941825241568,0.9057941825241568,1.0
39,16,True,False,,100,True,0,False,False,0.32038834951456313,0.775729292390647,0.8789960447983979,0.7678648114048123
39,27,True,False,,93,False,3,True,False,0.1896551724137931,0.09962358534127325,0.35329691546065184,0.08900448713473202
39,20,True,False,,102,True,2,True,False,1.0,0.8895330079303785,0.8895330079303785,1.0000000000000002
