pair_id,template_id,noun,entity_a,entity_b,error,p1_n_tok_a,p1_n_tok_b,base_p1_lp_a_given_ha,base_p1_lp_b_given_ha,base_p1_lp_a_given_hb,base_p1_lp_b_given_hb,base_p1_lp_a_given_h0,base_p1_lp_b_given_h0,base_p1_D_a,base_p1_D_b,base_p1_D_0,av_p1_D_a,av_p1_D_b,av_p1_D_0,p2_n_tok_a,p2_n_tok_b,base_p2_lp_a_given_ha,base_p2_lp_b_given_ha,base_p2_lp_a_given_hb,base_p2_lp_b_given_hb,base_p2_lp_a_given_h0,base_p2_lp_b_given_h0,base_p2_D_a,base_p2_D_b,base_p2_D_0,av_p2_D_a,av_p2_D_b,av_p2_D_0
10,2,time,March,April,,1,1,-13.857730865478516,-14.045230865478516,-13.602154731750488,-13.852154731750488,-15.107468605041504,-14.576218605041504,0.1875,0.25,-0.53125,-0.875,-0.875,0.6875,1,1,-15.06448745727539,-15.53323745727539,-14.966537475585938,-15.544662475585938,-17.44554328918457,-16.97679328918457,0.46875,0.578125,-0.46875,-0.53125,-0.46875,-0.03125
11,2,time,noon,dusk,,1,1,-10.413789749145508,-13.882539749145508,-10.856618881225586,-14.137868881225586,-10.826218605041504,-15.201218605041504,3.46875,3.28125,4.375,5.078125,2.765625,4.58984375,1,1,-17.52985382080078,-17.77985382080078,-17.34789276123047,-17.63695526123047,-16.53148078918457,-19.58616828918457,0.25,0.2890625,3.0546875,6.0,4.4921875,3.0234375
12,3,instrument,violin,guitar,,1,1,-11.883129119873047,-10.383129119873047,-11.798050880432129,-10.423050880432129,-13.135856628417969,-13.448356628417969,-1.5,-1.375,0.3125,-3.4609375,-3.30078125,-2.99072265625,1,1,-16.253232955932617,-15.753232955932617,-16.05975341796875,-15.434754371643066,-13.89379596710205,-14.09692096710205,-0.5,-0.6249990463256836,0.203125,-1.4371328353881836,-1.373046875,-1.1796875
13,3,instrument,flute,horn,,1,1,-13.277584075927734,-17.230709075927734,-13.520873069763184,-17.442747116088867,-12.885856628417969,-18.90148162841797,3.953125,3.9218740463256836,6.015625,0.970703125,0.802734375,-0.921875,1,1,-19.78372573852539,-20.90872573852539,-19.655641555786133,-20.624391555786133,-15.34692096710205,-15.87817096710205,1.125,0.96875,0.53125,0.5546875,0.6640625,0.53125
14,3,instrument,piano,drums,,1,1,-11.146514892578125,-13.834014892578125,-11.206450462341309,-13.612700462341309,-10.073356628417969,-14.042106628417969,2.6875,2.40625,3.96875,3.044921875,2.828125,2.0625,1,1,-19.907262802124023,-18.876012802124023,-19.58715057373047,-18.83715057373047,-11.53442096710205,-20.268795013427734,-1.03125,-0.75,8.734374046325684,3.671874046325683,3.4375,2.9921884536743164
15,3,instrument,trumpet,organ,,1,1,-16.102434158325195,-19.563371658325195,-16.143577575683594,-19.510765075683594,-17.07335662841797,-18.22960662841797,3.4609375,3.3671875,1.15625,-4.40625,-4.06640625,-3.55078125,1,1,-20.258628845214844,-21.289878845214844,-19.92283821105957,-20.67283821105957,-17.302974700927734,-15.40942096710205,1.03125,0.75,-1.8935537338256836,-2.462890625,-1.8544921875,-1.0859384536743164
16,4,metal,gold,iron,,1,1,-13.630636215209961,-10.255636215209961,-13.637846946716309,-10.200346946716309,-10.300910949707031,-6.925910949707031,-3.375,-3.4375,-3.375,2.3281240463256836,2.546875,0.89453125,1,1,-16.497732162475586,-17.060232162475586,-16.729223251342773,-17.260473251342773,-15.990059852600098,-14.943184852600098,0.5625,0.53125,-1.046875,2.5625,1.71875,-2.906250476837158
17,4,metal,silver,copper,,1,1,-15.692036628723145,-10.379536628723145,-15.568257331848145,-10.255757331848145,-11.550910949707031,-7.613410949707031,-5.3125,-5.3125,-3.9375,1.0,0.5625,-0.494140625,1,1,-17.467758178710938,-16.217758178710938,-17.51647186279297,-16.20397186279297,-14.240059852600098,-15.599434852600098,-1.25,-1.3125,1.359375,2.09375,1.65625,-2.875000476837158
18,4,metal,platinum,bronze,,1,1,-14.950268745422363,-15.325268745422363,-14.88759994506836,-15.26259994506836,-11.738410949707031,-11.800910949707031,0.375,0.375,0.0625,-0.234375,-1.679443359375,-2.65625,1,1,-19.41775894165039,-17.64432144165039,-19.582021713256836,-17.816396713256836,-14.693184852600098,-14.896309852600098,-1.7734375,-1.765625,0.203125,0.8125,-1.5,-0.625
19,4,metal,steel,brass,,1,1,-12.254528045654297,-14.442028045654297,-12.310301780700684,-14.435301780700684,-8.425910949707031,-11.175910949707031,2.1875,2.125,2.75,-1.9921875,-1.9453125,3.2734375,1,1,-18.635425567626953,-18.127613067626953,-18.5175838470459,-18.2441463470459,-16.30255889892578,-16.15412139892578,-0.5078125,-0.2734375,-0.1484375,0.90625,0.671875,6.375000476837158
20,5,city,London,Tokyo,,1,1,-9.543340682983398,-11.605840682983398,-9.999387741088867,-11.936887741088867,-8.55625057220459,-1.5562506914138794,2.0625,1.9375,-6.9999998807907104,3.3007802963256836,-6.0703125,0.203125,1,1,-12.964277267456055,-13.464277267456055,-12.710028648376465,-12.710028648376465,-16.015392303466797,-8.452893257141113,0.5,0.0,-7.562499046325684,3.71875,-4.625,-1.703125
21,5,city,Moscow,Cairo,,1,1,-11.98170280456543,-11.95045280456543,-12.282702445983887,-12.063952445983887,-9.49375057220459,-7.18125057220459,-0.03125,-0.21875,-2.3125,8.505860328674316,-6.44384765625,0.0546875,1,1,-18.65341567993164,-19.96591567993164,-18.93023681640625,-20.39898681640625,-17.859142303466797,-17.577892303466797,1.3125,1.46875,-0.28125,9.906249046325684,-0.421875,2.15234375
22,5,city,Boston,Denver,,1,1,-11.794169425964355,-11.544169425964355,-11.852972984313965,-11.540472984313965,-12.71250057220459,-12.08750057220459,-0.25,-0.3125,-0.625,0.958984375,-0.0390625,5.3125,1,1,-21.148658752441406,-19.961158752441406,-21.08899688720703,-19.90149688720703,-21.179454803466797,-20.202892303466797,-1.1875,-1.1875,-0.9765625,2.2705068588256836,1.44140625,2.87109375
23,5,city,Sydney,Dublin,,1,1,-14.381434440612793,-9.193934440612793,-14.251707077026367,-9.532957077026367,-10.05625057220459,-9.86875057220459,-5.1875,-4.71875,-0.1875,-2.2460927963256836,-6.363282203674316,-2.533203125,1,1,-17.27326202392578,-16.83576202392578,-16.7680721282959,-16.5805721282959,-16.546642303466797,-19.202892303466797,-0.4375,-0.1875,2.65625,-1.34375,-4.140625,-2.3203125
24,6,illness,asthma,diabetes,,1,1,-11.981873512268066,-13.388123512268066,-11.907438278198242,-13.282438278198242,-8.804139137268066,-11.054139137268066,1.40625,1.375,2.25,-2.0625,-2.8125,-1.6650390625,1,1,-13.273533821105957,-14.304783821105957,-13.264644622802734,-14.233394622802734,-11.460747718811035,-15.281060218811035,1.03125,0.96875,3.8203125,0.96875,-0.53125,-2.138671875
25,6,illness,cancer,arthritis,,1,1,-12.134193420410156,-16.102943420410156,-11.750738143920898,-15.969488143920898,-10.116639137268066,-13.710389137268066,3.96875,4.21875,3.59375,6.046875,3.625,3.40625,1,1,-12.5274076461792,-14.7930326461792,-12.230891227722168,-14.309016227722168,-13.773247718811035,-13.320122718811035,2.265625,2.078125,-0.453125,5.046875,2.4375,2.921875
26,6,illness,malaria,pneumonia,,1,1,-11.341334342956543,-10.341334342956543,-11.360610008239746,-10.423110008239746,-7.429139137268066,-6.366639137268066,-1.0,-0.9375,-1.0625,-0.53125,-1.46875,-0.078125,1,1,-11.045963287353516,-13.295963287353516,-11.121671676635742,-13.465421676635742,-12.054497718811035,-11.804497718811035,2.25,2.34375,-0.25,-1.25,-2.125,-1.0
27,6,illness,measles,influenza,,1,1,-11.624119758605957,-7.624120235443115,-11.9175443649292,-7.980044364929199,-9.679139137268066,-4.741639137268066,-3.999999523162842,-3.9375,-4.9375,-0.6875,-1.15625,0.21875,1,1,-12.032684326171875,-7.845184803009033,-12.488401412963867,-8.050901412963867,-12.335747718811035,-8.335747718811035,-4.187499523162842,-4.4375,-4.0,-0.09375,-0.84375,-0.7890625
28,7,profession,teacher,plumber,,1,1,-10.519951820373535,-17.51213836669922,-10.82326602935791,-17.877952575683594,-7.6214213371276855,-15.590170860290527,6.992186546325684,7.054686546325684,7.968749523162842,6.421875,-0.765625,-1.2587890625,1,1,-15.215612411499023,-18.621862411499023,-14.777515411376953,-18.371265411376953,-11.373549461364746,-18.100112915039062,3.40625,3.59375,6.726563453674316,9.62109375,0.40625,0.796875
29,7,profession,lawyer,farmer,,1,1,-13.923110961914062,-18.391860961914062,-14.441493034362793,-18.54696273803711,-9.621420860290527,-13.027670860290527,4.46875,4.105469703674316,3.40625,0.0625,-3.40625,0.0703125,1,1,-18.42776870727539,-20.42776870727539,-18.358783721923828,-20.265033721923828,-14.967299461364746,-15.764174461364746,2.0,1.90625,0.796875,0.9375,-3.90625,1.8164072036743164
30,7,profession,nurse,baker,,1,1,-14.600234031677246,-17.88148307800293,-14.852911949157715,-17.9857234954834,-11.652670860290527,-18.418296813964844,3.2812490463256836,3.1328115463256836,6.765625953674316,-0.046875,0.390625,1.3125,1,1,-15.715816497802734,-20.684566497802734,-15.959993362426758,-20.678743362426758,-15.436049461364746,-21.732925415039062,4.96875,4.71875,6.296875953674316,4.08984375,2.953125,3.0390625
31,7,profession,pilot,chef,,1,1,-20.574525833129883,-18.285463333129883,-20.874225616455078,-18.530475616455078,-12.996420860290527,-14.746420860290527,-2.2890625,-2.34375,1.75,2.681640625,-2.015625,-0.140625,1,1,-21.38638687133789,-18.01138687133789,-21.471370697021484,-17.986995697021484,-16.451675415039062,-15.279799461364746,-3.375,-3.484375,-1.1718759536743164,-0.6875,-4.359375,-1.59375
32,8,animal,tiger,dolphin,,1,1,-17.547283172607422,-20.539470672607422,-17.829023361206055,-20.993085861206055,-15.514129638671875,-18.045379638671875,2.9921875,3.1640625,2.53125,-0.3515625,-0.765625,0.9375,1,1,-11.710657119750977,-18.116907119750977,-11.827747344970703,-18.390247344970703,-11.528268814086914,-12.403268814086914,6.40625,6.5625,0.875,0.515625,0.515625,1.80078125
33,8,animal,bear,eagle,,1,1,-17.939603805541992,-21.095853805541992,-18.114591598510742,-21.481779098510742,-16.764129638671875,-17.170379638671875,3.15625,3.3671875,0.40625,0.578125,0.5703125,1.1171875,1,1,-14.69728946685791,-16.478538513183594,-14.52327823638916,-16.429527282714844,-14.200143814086914,-15.797800064086914,1.7812490463256836,1.9062490463256836,1.59765625,-1.6796875,-1.53125,1.3046875
34,8,animal,lion,shark,,1,1,-15.987977981567383,-22.329774856567383,-16.023670196533203,-23.070545196533203,-15.139129638671875,-19.123504638671875,6.341796875,7.046875,3.984375,-1.0,-0.7890625,-0.845703125,1,1,-12.900130271911621,-17.087631225585938,-12.52109432220459,-17.302343368530273,-13.278268814086914,-15.661081314086914,4.187500953674316,4.781249046325684,2.3828125,1.875,1.890625,-1.5
35,8,animal,wolf,hawk,,1,1,-16.5322265625,-21.2978515625,-16.451744079589844,-21.861900329589844,-15.045379638671875,-17.420379638671875,4.765625,5.41015625,2.375,-1.508056640625,-2.125,3.3359375,1,1,-15.141196250915527,-18.64119529724121,-14.750917434692383,-18.438417434692383,-13.684518814086914,-13.372018814086914,3.4999990463256836,3.6875,-0.3125,-2.765625,-2.9062509536743164,3.31640625
36,9,subject,river,castle,,1,1,-21.77223014831543,-22.38551139831543,-21.67418098449707,-22.24839973449707,-19.636409759521484,-21.886409759521484,0.61328125,0.57421875,2.25,-0.34375,-1.65625,2.75,1,1,-19.093358993530273,-22.874608993530273,-19.114042282104492,-22.848417282104492,-19.242013931274414,-19.752389907836914,3.78125,3.734375,0.5103759765625,-1.234375,-1.890625,1.671875
37,9,subject,bridge,forest,,1,1,-19.98423957824707,-22.11705207824707,-20.1697940826416,-22.1932315826416,-19.206722259521484,-19.511409759521484,2.1328125,2.0234375,0.3046875,2.65625,2.4375,1.0546875,1,1,-18.600034713745117,-21.193784713745117,-18.72315788269043,-21.19190788269043,-20.388498306274414,-18.845529556274414,2.59375,2.46875,-1.54296875,2.296875,2.3125,2.12109375
38,9,subject,garden,desert,,1,1,-21.44509506225586,-23.55642318725586,-21.548053741455078,-23.536334991455078,-20.402034759521484,-22.972347259521484,2.111328125,1.98828125,2.5703125,3.8125,2.34375,-0.4970703125,1,1,-21.098472595214844,-26.215660095214844,-21.11414909362793,-26.26649284362793,-18.669748306274414,-23.888498306274414,5.1171875,5.15234375,5.21875,6.187500953674316,4.875,2.46875
39,9,subject,mountain,village,,1,1,-21.66451644897461,-22.86373519897461,-21.562862396240234,-22.795284271240234,-20.675472259521484,-22.198909759521484,1.19921875,1.232421875,1.5234375,1.921875,1.28125,0.578125,1,1,-23.132829666137695,-14.476579666137695,-23.12378692626953,-14.405036926269531,-19.755197525024414,-16.232248306274414,-8.65625,-8.71875,-3.52294921875,0.796875,0.28125,-0.6484375
