item_id,item_type,context_id,prefix_text,sentence,candidate_words_shuffled,transform,human_label,human_note,word_orig,in_full_prefix,is_last,stratum,rank,gap,cos_by_word
k1_row_637,k1_row,190," = Erving Goffman = 
 
 Erving Goffman ( 11 June 1922 – 19 November 1982 ) was a Canadian @-@ American sociologist and writer , considered "" the most influential American sociologist of the twentieth century "" . In 2007 he was listed by The Times Higher Education Guide as the sixth most @-@ cited author in the humanities and social sciences , behind Anthony Giddens and ahead of Jürgen Habermas . 
 Goffman was the 73rd president of the American Sociological Association . His best @-@ known contribution to social theory is his study of symbolic interaction . This took the form of dramaturgical analysis , beginning with his 1959 book , The Presentation of Self in Everyday","Academic reference format with a quoted scholarly term (""Symbolic Interactionism""), establishing a classic sociological text context about everyday life.",Nip|Symbolic|An|He|US|Tech|Moon|Sm,one-word alternatives (which of the words is grounded in the prefix?),,,"(""Symbolic",True,False,nonlast_in_prefix,1.0,0.0009102231140679,"{""Symbolic"": 0.9288441812885642, ""US"": 0.9280330979270636, ""He"": 0.9285375099376152, ""An"": 0.9280951936496539, ""Tech"": 0.9266484891809273, ""Moon"": 0.9274946022803969, ""Nip"": 0.928100934277877, ""Sm"": 0.9286278799679386}"
k1_row_442,k1_row,130," = Johnson – Corey – Chaykovsky reaction = 
 
 The Johnson – Corey – Chaykovsky reaction ( sometimes referred to as the Corey – Chaykovsky reaction or CCR ) is a chemical reaction used in organic chemistry for the synthesis of epoxides , aziridines , and cyclopropanes . It was discovered in 1961 by A. William Johnson and developed significantly by E. J. Corey and Michael Chaykovsky . The reaction involves addition of a sulfur ylide to a ketone , aldehyde , imine , or enone to produce the corresponding 3 @-@ membered ring . The reaction is diastereoselective favoring trans substitution in the product regardless of the initial stereochemistry . The synthesis of epoxides via this method serves as an important retrosynthetic alternative to the traditional epoxidation reactions of olefins . 
 The reaction is most often employed for epoxidation via methylene transfer , and to this end has been used in several notable total syntheses ( See Synthesis of epoxides below ) . Additionally detailed below are the history , mechanism , scope , and enantioselective variants of the reaction . Several reviews have been published . 
 
 = = History = = 
 
 The original publication by Johnson concerned the reaction of 9 @-@ dimethylsulfonium fluorenylide with substituted benzaldehyde derivatives . The","The sentence ""The first reported use of the Schmid group in 1965 was the formation of a heterocyclic ring via Pd catalysis.",2065|3930|1966|1965|1964|1972|5895|1978,one-word alternatives (which of the words is grounded in the prefix?),,,1965,False,False,nonlast_not_in_prefix,4.0,4.185715362514664e-05,"{""1965"": 0.9160329404056764, ""1966"": 0.9160033694379084, ""1972"": 0.9156079411064771, ""1978"": 0.915420371748818, ""3930"": 0.9168294424421007, ""5895"": 0.916783673004664, ""2065"": 0.9149672644314754, ""1964"": 0.916325520592915}"
k1_row_158,k1_row,46," = Henry Hoʻolulu Pitman = 
 
 Timothy Henry Hoʻolulu Pitman ( March 18 , 1845 – February 27 , 1863 ) was an American Union Army soldier of Native Hawaiian descent . Considered one of the "" Hawaiʻi Sons of the Civil War "" , he was among a group of more than one hundred documented Native Hawaiian and Hawaii @-@ born combatants who fought in the American Civil War while the Kingdom of Hawaiʻi was still an independent nation . 
 Born and raised in Hilo , Hawaiʻi , he was the eldest son of Kinoʻoleoliliha , a Hawaiian high chiefess , and Benjamin Pitman , an American pioneer","Wilcox, a American pioneer"" suggests an incomplete noun phrase describing his identity or social status, likely continuing with a specific occupation or immigrant background detail.",Latin|Jewish|Filipino|Tomorrowland|Kennedy|IRC|Av|American,one-word alternatives (which of the words is grounded in the prefix?),,,American,True,False,nonlast_in_prefix,1.0,0.0040075643706224,"{""American"": 0.9126302376390062, ""Kennedy"": 0.9081988736941166, ""IRC"": 0.909726827707392, ""Filipino"": 0.9093091784468701, ""Latin"": 0.9091477989359265, ""Jewish"": 0.9080673668048277, ""Av"": 0.9098184523816085, ""Tomorrowland"": 0.9060902149079456}"
k1_row_476,k1_row,140," = The Litigators = 
 
 The Litigators is a 2011 legal thriller novel by John Grisham , his 25","The phrase ""The fifth novel of Stephen King , his 25"" strongly implies a numbered list or record of his works, with ""25th novel"" suggesting a milestone or ranking number for his career.",32|50|26|38|24|75|25|125,one-word alternatives (which of the words is grounded in the prefix?),,,"25""",True,False,nonlast_in_prefix,2.0,0.0002579676861096,"{""25"": 0.8914699055144052, ""26"": 0.8916068521032671, ""32"": 0.8908033627827823, ""38"": 0.8910578972263882, ""50"": 0.8909354485781343, ""75"": 0.8912421472581199, ""125"": 0.8913966109478549, ""24"": 0.8914412459015216}"
k1_row_554,k1_row,164," = Mitsuyo Maeda = 
 
 Mitsuyo Maeda ( 前田 光世 , Maeda Mitsuyo , born December 18 , 1878 in Funazawa village , Hirosaki , Aomori , Japan – November 28 , 1941 ) , a Brazilian naturalized as Otávio Maeda ( Portuguese pronunciation : [ oˈtavju mɐˈedɐ ] ) , was a Japanese judōka ( judo expert ) and prizefighter in no holds barred competitions . He was also known as Count Combat or Conde Koma in Spanish and Portuguese , a nickname he picked up in Spain in 1908 . Along with Antônio Soshihiro Satake ( another naturalized Brazilian ) , he pioneered judo in Brazil , the United Kingdom , and other countries . 
 Maeda was fundamental to the development of Brazilian Jiu @-@ Jitsu , including through his teaching of Carlos Gracie and others of the Gracie family . He was also a promoter of Japanese emigration to Brazil . Maeda won more than 2 @,@ 000 professional fights in his career . His accomplishments led to him being called the "" toughest man who ever lived "" and being referred to as the father of Brazilian Jiu @-","The phrase ""Is the name 'John Smith' a valid Wikipedia article?",Senate|What|FBI|Charles|Is|IRC|F28|Championship,one-word alternatives (which of the words is grounded in the prefix?),,,"""Is",False,False,nonlast_not_in_prefix,8.0,-0.0051336249223389,"{""Is"": 0.7185959653579632, ""Charles"": 0.7225975236688281, ""F28"": 0.7257516446880592, ""What"": 0.723409656016655, ""FBI"": 0.7232043242324171, ""IRC"": 0.7223967500334327, ""Senate"": 0.7239964395514767, ""Championship"": 0.7247507937712464}"
k1_row_501,k1_row,148," = Road to the North Pole = 
 
 "" Road to the North Pole "" is the seventh episode of the ninth season of the animated comedy series Family Guy . Directed by Greg Colton and co @-@ written by Chris Sheridan and Danny Smith , the episode originally aired on Fox in the United States on December 12 , 2010 . In ""","Wiki-style TV show article format with informal tone and parenthetical references establishes a structured episode summary pattern about ""The Simpsons"" episode ""The Good Wife.""",Survived|Manhattan|Is|Filipino|Imagine|Indian|Haji|TV,one-word alternatives (which of the words is grounded in the prefix?),,,TV,False,False,nonlast_not_in_prefix,3.0,-2.4256737826244823e-05,"{""TV"": 0.8263336908754233, ""Indian"": 0.8311941455920568, ""Filipino"": 0.8287126327765667, ""Manhattan"": 0.8252894384683008, ""Survived"": 0.8237024913207278, ""Imagine"": 0.8243710348014046, ""Haji"": 0.826227987516137, ""Is"": 0.8250079028175524}"
k1_row_480,k1_row,141," = Sclerodermatineae = 
 
 Sclerodermatineae is a suborder of the fungal order Boletales . Circumscribed in 2002 by mycologists Manfred Binder and Andreas Bresinsky , it contains nine genera and about 80 species . The suborder contains a diverse assemblage fruit body morphologies , including boletes , gasteroid forms , earthstars ( genus Astraeus ) , and puffballs . Most species are ectomycorrhizal , although the ecological role of some species is not known with certainty . The suborder is thought to have originated in the late Cretaceous ( 145 – 66 Ma ) in Asia and North America , and the major genera diversified around the mid Cenozoic ( 66 – 0 Ma ) . 
 
 = = Taxonomy = = 
 
 The Sclerodermatineae was first legitimately used by Manfred Binder and Andreas Bresinsky in 2002 based on molecular analyses of nuclear ribosomal large subunit ( 25S ) rRNA sequences from 60 species of Boletales . This research was an extension of Binder 's 1999 graduate work , in which he argued for the need to recognize the molecular differences of the sclerodermatoid fungi . Sclerodermatineae is one of six lineages of the Boletales recognized as a suborder ; the others are the Boletineae , Paxillineae , Suillineae , Tapinellineae , and Coniophorineae . Of the nine genera assigned to the Sclerodermatineae , three are hymenomycetes ( Boletinellus , Gyroporus , and Phlebopus ) , and six are gasteroid ( Astraeus , Calostoma , Diplocystis , Pisolithus , and Scleroderma ) . Since the suborder 's original description , there have been several phylogenetic studies investigating the Sclerodermatineae . Some studies have revealed the existence of numerous cryptic species and have contributed to taxonomic expansion of the group . The "" core "" Sclerodermatineae include the genera Astraeus , Calostoma ,","Final token "" , "" mid-list continues enumerating the three genera's original species names (""identified Calathea , Ctenanthe ,""), immediately requiring ""Dracaena viridula"" or ""Hypolepis , and Leandra"" to complete the trio of named genera with their findings.",Moon|African|Hawaiian|19th-century|Although|Calathea|NFL|After,one-word alternatives (which of the words is grounded in the prefix?),,,Calathea,False,True,positive_control_last,3.0,0.0021656776863872,"{""Calathea"": 0.8873071523390885, ""19th-century"": 0.876977880243735, ""Moon"": 0.887963201367455, ""African"": 0.8849762121684687, ""NFL"": 0.8862777414595266, ""Hawaiian"": 0.8836265360899285, ""Although"": 0.8871197342644802, ""After"": 0.8890490169753152}"
k1_row_407,k1_row,119," = Mogadishu = 
 
 Mogadishu ( / ˌmɔːɡəˈdiːʃuː / ; Somali : Muqdisho ; Arabic : مقديشو Maqadīshū ) , known locally","Formal Wikipedia-style article structure with English-language descriptive prose about a Palestinian city, establishing factual context about Beirut, Lebanon's capital.",Trek|Death|mid-1810s|Saul|1970s|Palestinian|Proteins|Canadian,one-word alternatives (which of the words is grounded in the prefix?),,,Palestinian,False,False,nonlast_not_in_prefix,1.0,0.0013187141744132,"{""Palestinian"": 0.8769603088237321, ""Trek"": 0.8766624001178271, ""Canadian"": 0.8759354752851192, ""1970s"": 0.8759497621764935, ""Death"": 0.8756529367392597, ""mid-1810s"": 0.8745934088758209, ""Proteins"": 0.8745390111383146, ""Saul"": 0.8761581682123974}"
k1_row_587,k1_row,174," = Sister Wives = 
 
 Sister Wives is an American reality television series broadcast on TLC that began airing in 2010 . The show documents the life of a polygamist family , which includes patriarch Kody Brown , his four wives , and their 18 children . The family began the series living in Lehi , Utah , but has since moved to Las Vegas , Nevada in 2011 . 
 Brown and his wives have said they participated with the show to make the public more aware of polygamist families and to combat societal prejudices . Brown believes his polygamist arrangement is legal because he is legally married only to one woman , and the other marriages are spiritual unions . The series led to the Brown family being investigated for possible prosecution . 
 
 = = Concept = = 
 
 The show follows the lives of advertising salesman Kody Brown , his wives Meri , Janelle , Christine , and Robyn , and their 18 children . In the first season the show televised Brown 's courting and marriage of his fourth wife , Robyn Sullivan , in 2010 . Sullivan was the first new wife to enter the family in 16 years . 
 The only legal marriage was between Kody and his first wife Meri , until their legal divorce in September 2014 . ( He legally married fourth wife Robyn","The sentence structure ""While she was married to her first husband (2005) she never legally married her partner, Sarah.",2105|2004|4010|2006|2012|2018|6015|2005,one-word alternatives (which of the words is grounded in the prefix?),,,(2005),False,False,nonlast_not_in_prefix,1.0,0.00077480663132,"{""2005"": 0.8163772489571718, ""2006"": 0.8163455133501939, ""2012"": 0.8157531978715532, ""2018"": 0.8152259953609238, ""4010"": 0.8154174200540772, ""6015"": 0.8155200747213497, ""2105"": 0.8149285954971205, ""2004"": 0.8160262994257443}"
k1_row_137,k1_row,41," = Species ( film ) = 
 
 Species is a 1995 American science fiction horror thriller film directed by Roger Donaldson and written by Dennis Feldman . It stars Natasha Henstridge , Ben Kingsley , Michael Madsen , Alfred Molina , Forest Whitaker and Marg Helgenberger . In the film , a motley crew of scientists and government agents tries to track down an alien seductress played by Natasha Henstridge before she successfully mates with a human male . Due to her ruthlessness , the alien character was cited as an example of negative treatment of female sexuality and aliens by the Hollywood film industry . The design of Sil was also linked to a chupacabra sighting . 
","Structured wiki format with ""Bulleted facts"" pattern suggests a machine learning or trivia context about a named entity.",He|My|An|Like|Korea|Although|World|Bulleted,one-word alternatives (which of the words is grounded in the prefix?),,,"""Bulleted",False,False,nonlast_not_in_prefix,6.0,-0.0008922561510801,"{""Bulleted"": 0.8451522502372644, ""My"": 0.8448340600699054, ""Like"": 0.846353450073488, ""An"": 0.8452408232105854, ""Korea"": 0.8472169546213395, ""World"": 0.847536546675723, ""Although"": 0.8445923431547039, ""He"": 0.8465373669126661}"
