stim_idx,n_claims,k,direction,cos_z,cos_empty,n_words,cos_k,lift,error
45,3,1,first,0.8848661629056508,0.42346047267391806,19,0.468525468996599,0.09766892189831443,
45,3,1,last,0.8848661629056508,0.42346047267391806,33,0.8324607892521015,0.8864223507360094,
45,3,2,first,0.8848661629056508,0.42346047267391806,51,0.7968647358419921,0.8092753753871966,
45,3,2,last,0.8848661629056508,0.42346047267391806,65,0.8806222332708556,0.9908021731750563,
45,3,3,first,0.8848661629056508,0.42346047267391806,84,0.88442210846756,0.9990376051975697,
45,3,3,last,0.8848661629056508,0.42346047267391806,84,0.88442210846756,0.9990376051975697,
46,4,1,first,0.9126302376390062,0.35789290685500086,24,0.5202110357869582,0.29260357997280356,
46,4,1,last,0.9126302376390062,0.35789290685500086,37,0.8899762853201129,0.9591627405228405,
46,4,2,first,0.9126302376390062,0.35789290685500086,35,0.4922610579327461,0.2422194138040862,
46,4,2,last,0.9126302376390062,0.35789290685500086,62,0.8862044594640013,0.9523634399407417,
46,4,3,first,0.9126302376390062,0.35789290685500086,60,0.697910603538792,0.6129345869030431,
46,4,3,last,0.9126302376390062,0.35789290685500086,73,0.8997614561919662,0.9768020273147066,
46,4,4,first,0.9126302376390062,0.35789290685500086,97,0.9145832276829355,1.0035205671865803,
46,4,4,last,0.9126302376390062,0.35789290685500086,97,0.9145832276829355,1.0035205671865803,
47,3,1,first,0.8929812449451633,0.3542080002511649,22,0.4898410426345077,0.25174420541312686,
47,3,1,last,0.8929812449451633,0.3542080002511649,44,0.8677825199346906,0.9532294425184672,
47,3,2,first,0.8929812449451633,0.3542080002511649,62,0.8664496232353491,0.95075549506011,
47,3,2,last,0.8929812449451633,0.3542080002511649,84,0.8909039684044239,0.9961444326324721,
47,3,3,first,0.8929812449451633,0.3542080002511649,106,0.8931650416796295,1.0003411393128303,
47,3,3,last,0.8929812449451633,0.3542080002511649,106,0.8931650416796295,1.0003411393128303,
48,4,1,first,0.8996911309373561,0.45127342894233957,22,0.507857341328186,0.12618572401157196,
48,4,1,last,0.8996911309373561,0.45127342894233957,39,0.9040139118417101,1.0096400763955613,
48,4,2,first,0.8996911309373561,0.45127342894233957,37,0.57382031224609,0.2732873451662092,
48,4,2,last,0.8996911309373561,0.45127342894233957,64,0.895781142066704,0.9912804760979407,
48,4,3,first,0.8996911309373561,0.45127342894233957,62,0.813364772016059,0.8074867282508474,
48,4,3,last,0.8996911309373561,0.45127342894233957,79,0.8964249747263039,0.9927162638840504,
48,4,4,first,0.8996911309373561,0.45127342894233957,101,0.9005737687308702,1.0019683384255067,
48,4,4,last,0.8996911309373561,0.45127342894233957,101,0.9005737687308702,1.0019683384255067,
49,3,1,first,0.8391334933586021,0.35788814722482953,25,0.3386415783612843,-0.03999325711545739,
49,3,1,last,0.8391334933586021,0.35788814722482953,44,0.8524960928750545,1.027766709068056,
49,3,2,first,0.8391334933586021,0.35788814722482953,63,0.7312386053586544,0.7758006620391171,
49,3,2,last,0.8391334933586021,0.35788814722482953,82,0.8851288614417819,1.0955757150748517,
49,3,3,first,0.8391334933586021,0.35788814722482953,107,0.8350255624249207,0.991463957071619,
49,3,3,last,0.8391334933586021,0.35788814722482953,107,0.8350255624249207,0.991463957071619,
50,3,1,first,0.8940764736951006,0.3744466482442854,24,0.4641941106974436,0.17271422473738104,
50,3,1,last,0.8940764736951006,0.3744466482442854,45,0.8709740376935409,0.9555405889538447,
50,3,2,first,0.8940764736951006,0.3744466482442854,61,0.6547891936606359,0.5395043388303082,
50,3,2,last,0.8940764736951006,0.3744466482442854,82,0.8845270674669381,0.9816226749111684,
50,3,3,first,0.8940764736951006,0.3744466482442854,106,0.8957148195836993,1.0031529096452023,
50,3,3,last,0.8940764736951006,0.3744466482442854,106,0.8957148195836993,1.0031529096452023,
51,4,1,first,0.8991241584243834,0.3344392745782137,20,0.47688778454151587,0.2522619500509025,
51,4,1,last,0.8991241584243834,0.3344392745782137,7,0.3524453788571668,0.03188699537396912,
51,4,2,first,0.8991241584243834,0.3344392745782137,48,0.8636974748220414,0.9372629149180609,
51,4,2,last,0.8991241584243834,0.3344392745782137,41,0.8685493315960322,0.9458550641198316,
51,4,3,first,0.8991241584243834,0.3344392745782137,82,0.8934241953460035,0.9899059400358717,
51,4,3,last,0.8991241584243834,0.3344392745782137,69,0.8945528956689552,0.9919047545167271,
51,4,4,first,0.8991241584243834,0.3344392745782137,89,0.8965087796548566,0.995368427871288,
51,4,4,last,0.8991241584243834,0.3344392745782137,89,0.8965087796548566,0.995368427871288,
52,3,1,first,0.8549496520398193,0.32384763328192473,20,0.4963675402353348,0.32483383768129515,
52,3,1,last,0.8549496520398193,0.32384763328192473,38,0.805129705778202,0.9061951480091663,
52,3,2,first,0.8549496520398193,0.32384763328192473,63,0.7376164182469293,0.7790759032185548,
52,3,2,last,0.8549496520398193,0.32384763328192473,81,0.8486448229268663,0.98812877961244,
52,3,3,first,0.8549496520398193,0.32384763328192473,101,0.849817134374637,0.9903360983692252,
52,3,3,last,0.8549496520398193,0.32384763328192473,101,0.849817134374637,0.9903360983692252,
53,3,1,first,0.9140736077258251,0.4358817204496998,20,0.45866702153909156,0.047648865854210305,
53,3,1,last,0.9140736077258251,0.4358817204496998,41,0.8941755067489889,0.9583888779665843,
53,3,2,first,0.9140736077258251,0.4358817204496998,64,0.8939485184056083,0.9579141975100136,
53,3,2,last,0.9140736077258251,0.4358817204496998,85,0.9022720988540484,0.975320558157102,
53,3,3,first,0.9140736077258251,0.4358817204496998,105,0.915929210207856,1.0038804557990324,
53,3,3,last,0.9140736077258251,0.4358817204496998,105,0.915929210207856,1.0038804557990324,
54,3,1,first,0.8647387305511626,0.28793070709742846,23,0.34109450278397574,0.09216896007829468,
54,3,1,last,0.8647387305511626,0.28793070709742846,45,0.8064716131494766,0.8989835178560764,
54,3,2,first,0.8647387305511626,0.28793070709742846,59,0.6218751569530712,0.5789525046064629,
54,3,2,last,0.8647387305511626,0.28793070709742846,81,0.8425611938547328,0.9615512687156501,
54,3,3,first,0.8647387305511626,0.28793070709742846,104,0.8664916851248309,1.0030390606621111,
54,3,3,last,0.8647387305511626,0.28793070709742846,104,0.8664916851248309,1.0030390606621111,
55,3,1,first,0.7994054719400961,0.43969957622995126,22,0.48383954461026163,0.12271127303367543,
55,3,1,last,0.7994054719400961,0.43969957622995126,48,0.7643256734949482,0.9024764429398854,
55,3,2,first,0.7994054719400961,0.43969957622995126,60,0.7168312931506728,0.7704397404262662,
55,3,2,last,0.7994054719400961,0.43969957622995126,86,0.8062893857262092,1.0191376173374156,
55,3,3,first,0.7994054719400961,0.43969957622995126,108,0.8010593289815721,1.0045978035422822,
55,3,3,last,0.7994054719400961,0.43969957622995126,108,0.8010593289815721,1.0045978035422822,
56,5,1,first,0.8189734233163892,0.4567057788704074,20,0.539667323224064,0.22900622129953163,
56,5,1,last,0.8189734233163892,0.4567057788704074,25,0.6726796282297344,0.5961720641367714,
56,5,2,first,0.8189734233163892,0.4567057788704074,46,0.5763769879555516,0.3303392144450496,
56,5,2,last,0.8189734233163892,0.4567057788704074,45,0.7866553160919248,0.9107894184867416,
56,5,3,first,0.8189734233163892,0.4567057788704074,64,0.5933839411071635,0.37728503865085405,
56,5,3,last,0.8189734233163892,0.4567057788704074,63,0.8084283697089815,0.9708915389793246,
56,5,4,first,0.8189734233163892,0.4567057788704074,84,0.7301944522419846,0.7549354118826295,
56,5,4,last,0.8189734233163892,0.4567057788704074,89,0.8197008588618658,1.0020080058394094,
56,5,5,first,0.8189734233163892,0.4567057788704074,109,0.8188491207122752,0.9996568763288146,
56,5,5,last,0.8189734233163892,0.4567057788704074,109,0.8188491207122752,0.9996568763288146,
57,4,1,first,0.8977141976973927,0.3404552560868106,23,0.4941429774649192,0.27579229313741016,
57,4,1,last,0.8977141976973927,0.3404552560868106,44,0.867155479015275,0.9451624435243743,
57,4,2,first,0.8977141976973927,0.3404552560868106,40,0.5629937191022685,0.3993448043602141,
57,4,2,last,0.8977141976973927,0.3404552560868106,66,0.8586056022297276,0.9298197075947602,
57,4,3,first,0.8977141976973927,0.3404552560868106,62,0.87007934033509,0.950409306520174,
57,4,3,last,0.8977141976973927,0.3404552560868106,83,0.8804076878661993,0.9689435044663898,
57,4,4,first,0.8977141976973927,0.3404552560868106,106,0.8972842902644941,0.9992285320148366,
57,4,4,last,0.8977141976973927,0.3404552560868106,106,0.8972842902644941,0.9992285320148366,
58,3,1,first,0.8961252919911622,0.36240867669272586,19,0.5356454512099209,0.32458568751944683,
58,3,1,last,0.8961252919911622,0.36240867669272586,45,0.7819845446359653,0.7861397901368067,
58,3,2,first,0.8961252919911622,0.36240867669272586,55,0.5940718998945996,0.4340566071234929,
58,3,2,last,0.8961252919911622,0.36240867669272586,81,0.8777001529017598,0.965477673804291,
58,3,3,first,0.8961252919911622,0.36240867669272586,100,0.8989973241316727,1.005381193049245,
58,3,3,last,0.8961252919911622,0.36240867669272586,100,0.8989973241316727,1.005381193049245,
59,3,1,first,0.8633531194606237,0.31230926302414896,22,0.38859498592059005,0.13843856891858014,
59,3,1,last,0.8633531194606237,0.31230926302414896,36,0.8292304938492305,0.9380763886343648,
59,3,2,first,0.8633531194606237,0.31230926302414896,61,0.5106504389319075,0.35993718755963244,
59,3,2,last,0.8633531194606237,0.31230926302414896,75,0.8575717973330179,0.9895084174152803,
59,3,3,first,0.8633531194606237,0.31230926302414896,97,0.8626226060441033,0.9986743098430596,
59,3,3,last,0.8633531194606237,0.31230926302414896,97,0.8626226060441033,0.9986743098430596,
60,3,1,first,0.8909317153231097,0.3003787798552016,16,0.33868260779780046,0.06486095596536132,
60,3,1,last,0.8909317153231097,0.3003787798552016,38,0.8480154316874058,0.927328642263542,
60,3,2,first,0.8909317153231097,0.3003787798552016,60,0.6866384051840003,0.6540643558443355,
60,3,2,last,0.8909317153231097,0.3003787798552016,82,0.8907266787272333,0.9996528057290683,
60,3,3,first,0.8909317153231097,0.3003787798552016,98,0.8896287325047221,0.9977936223154067,
60,3,3,last,0.8909317153231097,0.3003787798552016,98,0.8896287325047221,0.9977936223154067,
61,5,1,first,0.8937795982447434,0.34461530827441766,15,0.4608441736910516,0.21164680140238976,
61,5,1,last,0.8937795982447434,0.34461530827441766,29,0.835051090475368,0.8930584001145653,
61,5,2,first,0.8937795982447434,0.34461530827441766,22,0.4564594780147536,0.20366249551000393,
61,5,2,last,0.8937795982447434,0.34461530827441766,45,0.8666459534927868,0.9505910248581116,
61,5,3,first,0.8937795982447434,0.34461530827441766,37,0.49764864119596247,0.2786658486658228,
61,5,3,last,0.8937795982447434,0.34461530827441766,60,0.8850997033445174,0.9841943566638409,
61,5,4,first,0.8937795982447434,0.34461530827441766,53,0.868784962610197,0.9544860507301066,
61,5,4,last,0.8937795982447434,0.34461530827441766,67,0.8892443566728995,0.9917415577548041,
61,5,5,first,0.8937795982447434,0.34461530827441766,82,0.8925674236279574,0.9977926922071871,
61,5,5,last,0.8937795982447434,0.34461530827441766,82,0.8925674236279574,0.9977926922071871,
62,3,1,first,0.925907818840253,0.32799700617486705,19,0.33187851210641284,0.006491780796274099,
62,3,1,last,0.925907818840253,0.32799700617486705,36,0.9040653800094819,0.9634687341856202,
62,3,2,first,0.925907818840253,0.32799700617486705,58,0.5102425976494238,0.3048039734590792,
62,3,2,last,0.925907818840253,0.32799700617486705,75,0.926585791916446,1.0011339033545332,
62,3,3,first,0.925907818840253,0.32799700617486705,94,0.9236042791334751,0.9961473523174651,
62,3,3,last,0.925907818840253,0.32799700617486705,94,0.9236042791334751,0.9961473523174651,
63,3,1,first,0.9020529767698311,0.34836937429736126,19,0.5016634527764984,0.2768622328611568,
63,3,1,last,0.9020529767698311,0.34836937429736126,47,0.8424493273444428,0.8923507050611059,
63,3,2,first,0.9020529767698311,0.34836937429736126,65,0.6516269641918068,0.5477091763965035,
63,3,2,last,0.9020529767698311,0.34836937429736126,93,0.8814535007153664,0.9627955822378018,
63,3,3,first,0.9020529767698311,0.34836937429736126,112,0.903422724044024,1.0024738808736187,
63,3,3,last,0.9020529767698311,0.34836937429736126,112,0.903422724044024,1.0024738808736187,
64,3,1,first,0.9069603518111161,0.31293170299656503,23,0.5006512078725195,0.3160108611774351,
64,3,1,last,0.9069603518111161,0.31293170299656503,47,0.8823517301958771,0.9585733421033679,
64,3,2,first,0.9069603518111161,0.31293170299656503,60,0.7124930515078173,0.6726297617271835,
64,3,2,last,0.9069603518111161,0.31293170299656503,84,0.9010230732161251,0.9900050635489727,
64,3,3,first,0.9069603518111161,0.31293170299656503,107,0.904227705015572,0.9953998063881306,
64,3,3,last,0.9069603518111161,0.31293170299656503,107,0.904227705015572,0.9953998063881306,
65,3,1,first,0.8709104170652038,0.31888991310501,20,0.4377085663645171,0.21524318826402705,
65,3,1,last,0.8709104170652038,0.31888991310501,36,0.8584886356071657,0.9774976085690219,
65,3,2,first,0.8709104170652038,0.31888991310501,63,0.5321506240484506,0.3863275175713742,
65,3,2,last,0.8709104170652038,0.31888991310501,79,0.8655169425834327,0.990229575816336,
65,3,3,first,0.8709104170652038,0.31888991310501,99,0.8741557870475873,1.0058790750689535,
65,3,3,last,0.8709104170652038,0.31888991310501,99,0.8741557870475873,1.0058790750689535,
66,4,1,first,0.8872040192986572,0.37626630612723067,19,0.45311708033632486,0.15041123845033086,
66,4,1,last,0.8872040192986572,0.37626630612723067,23,0.6854951479857979,0.605218275901307,
66,4,2,first,0.8872040192986572,0.37626630612723067,59,0.823651371110215,0.8756156640034136,
66,4,2,last,0.8872040192986572,0.37626630612723067,45,0.8564276005404294,0.9397648324544368,
66,4,3,first,0.8872040192986572,0.37626630612723067,81,0.869257299158877,0.964874935482089,
66,4,3,last,0.8872040192986572,0.37626630612723067,85,0.8850642161283957,0.9958120077749211,
66,4,4,first,0.8872040192986572,0.37626630612723067,104,0.8895895672660153,1.0046689604346308,
66,4,4,last,0.8872040192986572,0.37626630612723067,104,0.8895895672660153,1.0046689604346308,
67,5,1,first,0.8152549859747157,0.5006135001273221,20,0.6925897519945167,0.6101428467074628,
67,5,1,last,0.8152549859747157,0.5006135001273221,27,0.7340578224775381,0.7419375157141245,
67,5,2,first,0.8152549859747157,0.5006135001273221,43,0.7079358683713665,0.6589161873733307,
67,5,2,last,0.8152549859747157,0.5006135001273221,42,0.7614666907310946,0.8290489408961498,
67,5,3,first,0.8152549859747157,0.5006135001273221,59,0.6927092521516833,0.6105226445489483,
67,5,3,last,0.8152549859747157,0.5006135001273221,58,0.7667345812915357,0.8457914583243699,
67,5,4,first,0.8152549859747157,0.5006135001273221,74,0.8270390687135444,1.0374524125675664,
67,5,4,last,0.8152549859747157,0.5006135001273221,81,0.8119227380537167,0.9894093815631956,
67,5,5,first,0.8152549859747157,0.5006135001273221,101,0.8174810635295358,1.00707496517449,
67,5,5,last,0.8152549859747157,0.5006135001273221,101,0.8174810635295358,1.00707496517449,
68,3,1,first,0.8677497710112528,0.22310716664104557,20,0.386620275896005,0.253649244009719,
68,3,1,last,0.8677497710112528,0.22310716664104557,40,0.8248740348958852,0.9334891367329721,
68,3,2,first,0.8677497710112528,0.22310716664104557,55,0.6494645582479744,0.6613856867612168,
68,3,2,last,0.8677497710112528,0.22310716664104557,75,0.8559761955843473,0.9817362747248022,
68,3,3,first,0.8677497710112528,0.22310716664104557,95,0.8655082247726291,0.9965228077954704,
68,3,3,last,0.8677497710112528,0.22310716664104557,95,0.8655082247726291,0.9965228077954704,
69,4,1,first,0.8693632494104001,0.40349399000958597,17,0.5466318812055309,0.307249058201531,
69,4,1,last,0.8693632494104001,0.40349399000958597,41,0.758364729169689,0.7617389042078592,
69,4,2,first,0.8693632494104001,0.40349399000958597,67,0.744387144594149,0.731735669837947,
69,4,2,last,0.8693632494104001,0.40349399000958597,45,0.8198454143445185,0.8937087303644593,
69,4,3,first,0.8693632494104001,0.40349399000958597,71,0.8470700427522435,0.9521470751540263,
69,4,3,last,0.8693632494104001,0.40349399000958597,95,0.8734133256218711,1.0086935897351976,
69,4,4,first,0.8693632494104001,0.40349399000958597,112,0.8730144186056648,1.0078373258625406,
69,4,4,last,0.8693632494104001,0.40349399000958597,112,0.8730144186056648,1.0078373258625406,
70,3,1,first,0.9241751918755847,0.4718854174918755,25,0.6341950790982686,0.3588621074344572,
70,3,1,last,0.9241751918755847,0.4718854174918755,44,0.8787591258804899,0.8995863524507516,
70,3,2,first,0.9241751918755847,0.4718854174918755,58,0.6899493684496454,0.4821332767359248,
70,3,2,last,0.9241751918755847,0.4718854174918755,77,0.9128929153465697,0.9750552031728149,
70,3,3,first,0.9241751918755847,0.4718854174918755,102,0.9215644857059109,0.9942278019147543,
70,3,3,last,0.9241751918755847,0.4718854174918755,102,0.9215644857059109,0.9942278019147543,
71,6,1,first,0.8892084802435517,0.3666096782703893,20,0.6009700800016298,0.448451854168766,
71,6,1,last,0.8892084802435517,0.3666096782703893,3,0.3215020175106126,-0.0863141296716811,
71,6,2,first,0.8892084802435517,0.3666096782703893,26,0.5730465739120447,0.3950198409606319,
71,6,2,last,0.8892084802435517,0.3666096782703893,33,0.7902503517508638,0.810642259188015,
71,6,3,first,0.8892084802435517,0.3666096782703893,52,0.8020406015332333,0.833203064413464,
71,6,3,last,0.8892084802435517,0.3666096782703893,44,0.8504906863776946,0.9259129685723133,
71,6,4,first,0.8892084802435517,0.3666096782703893,63,0.8583035714854534,0.9408630317532083,
71,6,4,last,0.8892084802435517,0.3666096782703893,70,0.8692198268183319,0.9617514365709428,
71,6,5,first,0.8892084802435517,0.3666096782703893,93,0.8877506599754853,0.9972104408533617,
71,6,5,last,0.8892084802435517,0.3666096782703893,76,0.8876067903994789,0.9969351444396246,
71,6,6,first,0.8892084802435517,0.3666096782703893,96,0.8886719655394895,0.9989733717298305,
71,6,6,last,0.8892084802435517,0.3666096782703893,96,0.8886719655394895,0.9989733717298305,
72,3,1,first,0.9243353654254957,0.3967756806169788,20,0.5049522641870403,0.2050508912737054,
72,3,1,last,0.9243353654254957,0.3967756806169788,39,0.8922066811353058,0.9390994323194893,
72,3,2,first,0.9243353654254957,0.3967756806169788,57,0.8821223953847931,0.9199844657272774,
72,3,2,last,0.9243353654254957,0.3967756806169788,76,0.9210404677112657,0.9937544550709445,
72,3,3,first,0.9243353654254957,0.3967756806169788,96,0.9220743246660947,0.9957141517357951,
72,3,3,last,0.9243353654254957,0.3967756806169788,96,0.9220743246660947,0.9957141517357951,
73,6,1,first,0.8158129468330602,0.5170844806200575,20,0.5833206256861923,0.22172692782115486,
73,6,1,last,0.8158129468330602,0.5170844806200575,31,0.6780214464119229,0.5387399728993765,
73,6,2,first,0.8158129468330602,0.5170844806200575,36,0.574731113854797,0.19297335123608766,
73,6,2,last,0.8158129468330602,0.5170844806200575,40,0.801199774920615,0.9510820910450981,
73,6,3,first,0.8158129468330602,0.5170844806200575,68,0.7161605949133971,0.6664115971840199,
73,6,3,last,0.8158129468330602,0.5170844806200575,43,0.7799898125075929,0.8800812832482987,
73,6,4,first,0.8158129468330602,0.5170844806200575,71,0.7350912804743193,0.7297824764340207,
73,6,4,last,0.8158129468330602,0.5170844806200575,75,0.7742608288185991,0.8609033864726067,
73,6,5,first,0.8158129468330602,0.5170844806200575,80,0.7425451886531831,0.7547345952372851,
73,6,5,last,0.8158129468330602,0.5170844806200575,91,0.7749667401673708,0.863266439976414,
73,6,6,first,0.8158129468330602,0.5170844806200575,111,0.7565127847207189,0.8014914250921826,
73,6,6,last,0.8158129468330602,0.5170844806200575,111,0.7565127847207189,0.8014914250921826,
74,3,1,first,0.9384561350386859,0.3881760024805071,21,0.5305039054514754,0.258646268600149,
74,3,1,last,0.9384561350386859,0.3881760024805071,44,0.8954228761052097,0.9217975420384154,
74,3,2,first,0.9384561350386859,0.3881760024805071,58,0.87656153940733,0.8875216603884712,
74,3,2,last,0.9384561350386859,0.3881760024805071,81,0.9248912999177706,0.97534921884631,
74,3,3,first,0.9384561350386859,0.3881760024805071,102,0.9384793195100747,1.000042132125107,
74,3,3,last,0.9384561350386859,0.3881760024805071,102,0.9384793195100747,1.000042132125107,
75,3,1,first,0.7981617598261463,0.21153252402010445,18,0.30833343089338966,0.16501207400663995,
75,3,1,last,0.7981617598261463,0.21153252402010445,32,0.7832582717356897,0.9745947061946565,
75,3,2,first,0.7981617598261463,0.21153252402010445,49,0.7402568651370715,0.9012921771457363,
75,3,2,last,0.7981617598261463,0.21153252402010445,63,0.7940789816065859,0.9930402748953507,
75,3,3,first,0.7981617598261463,0.21153252402010445,81,0.8024470308723225,1.0073049053552336,
75,3,3,last,0.7981617598261463,0.21153252402010445,81,0.8024470308723225,1.0073049053552336,
76,3,1,first,0.8165510187590126,0.09474201818706096,25,0.16817526556108894,0.10173501205421445,
76,3,1,last,0.8165510187590126,0.09474201818706096,40,0.7798162995098278,0.949107424235391,
76,3,2,first,0.8165510187590126,0.09474201818706096,63,0.7237983186782578,0.8714996626430832,
76,3,2,last,0.8165510187590126,0.09474201818706096,78,0.8047789748573834,0.9836909156129929,
76,3,3,first,0.8165510187590126,0.09474201818706096,103,0.8162346448007387,0.9995616929713772,
76,3,3,last,0.8165510187590126,0.09474201818706096,103,0.8162346448007387,0.9995616929713772,
77,3,1,first,0.8530178711007769,0.34282556261837765,19,0.46530246116322804,0.24006026062832275,
77,3,1,last,0.8530178711007769,0.34282556261837765,46,0.833841806193069,0.9624140454709161,
77,3,2,first,0.8530178711007769,0.34282556261837765,66,0.6061542085598264,0.5161360560780253,
77,3,2,last,0.8530178711007769,0.34282556261837765,93,0.8294243915054851,0.9537557128889848,
77,3,3,first,0.8530178711007769,0.34282556261837765,112,0.8525374704248677,0.9990583929472827,
77,3,3,last,0.8530178711007769,0.34282556261837765,112,0.8525374704248677,0.9990583929472827,
78,3,1,first,0.7967841481608959,0.4877148834090785,22,0.5864736327922372,0.31953597670885187,
78,3,1,last,0.7967841481608959,0.4877148834090785,49,0.7499748755191262,0.8485476299969279,
78,3,2,first,0.7967841481608959,0.4877148834090785,59,0.722579060209467,0.7599079028093734,
78,3,2,last,0.7967841481608959,0.4877148834090785,86,0.782925181456291,0.9551590265187524,
78,3,3,first,0.7967841481608959,0.4877148834090785,108,0.7986581815957496,1.006063473947688,
78,3,3,last,0.7967841481608959,0.4877148834090785,108,0.7986581815957496,1.006063473947688,
79,3,1,first,0.8839908756785633,0.39980173680966746,18,0.5592995467377831,0.32941220098558016,
79,3,1,last,0.8839908756785633,0.39980173680966746,40,0.8615013197167163,0.9535521263149678,
79,3,2,first,0.8839908756785633,0.39980173680966746,51,0.8683216749044688,0.9676382646444756,
79,3,2,last,0.8839908756785633,0.39980173680966746,73,0.8765886088595525,0.9847120345650399,
79,3,3,first,0.8839908756785633,0.39980173680966746,91,0.8829431992602728,0.9978362248671295,
79,3,3,last,0.8839908756785633,0.39980173680966746,91,0.8829431992602728,0.9978362248671295,
80,3,1,first,0.9421320718734909,0.387839075474186,24,0.3876815337131326,-0.00028422109259330225,
80,3,1,last,0.9421320718734909,0.387839075474186,41,0.9136356034268841,0.9485895210083473,
80,3,2,first,0.9421320718734909,0.387839075474186,63,0.8532546204959063,0.8396561891365509,
80,3,2,last,0.9421320718734909,0.387839075474186,80,0.9268499118464323,0.9724294549519268,
80,3,3,first,0.9421320718734909,0.387839075474186,104,0.9389547379931953,0.994267771916774,
80,3,3,last,0.9421320718734909,0.387839075474186,104,0.9389547379931953,0.994267771916774,
81,3,1,first,0.6792819898977669,0.304817349610305,22,0.366005624243912,0.16340200929688617,
81,3,1,last,0.6792819898977669,0.304817349610305,39,0.6764841608779283,0.9925284560440986,
81,3,2,first,0.6792819898977669,0.304817349610305,55,0.4008954907659381,0.2565746690578787,
81,3,2,last,0.6792819898977669,0.304817349610305,72,0.6631898147096231,0.9570261822964368,
81,3,3,first,0.6792819898977669,0.304817349610305,94,0.6836425693375059,1.0116448363092214,
81,3,3,last,0.6792819898977669,0.304817349610305,94,0.6836425693375059,1.0116448363092214,
