"idx","claim_no","claim_text","source_tail_300"
"0","11","'steel mill machinery' entries","ed to.
Sayaji Crusher Catalogue Au coeur du jardin. Sayaji jaw crushers size and rates indonesia, indonesia is one important market of ogg, what is the cost of sayaji jaw crusher 20 210 sayaji jaw crushers size and contact supplier what is the cost of sayaji jaw crusher 20 10 see more.Price list for"
"0","12","likely a query or contact listing format","ed to.
Sayaji Crusher Catalogue Au coeur du jardin. Sayaji jaw crushers size and rates indonesia, indonesia is one important market of ogg, what is the cost of sayaji jaw crusher 20 210 sayaji jaw crushers size and contact supplier what is the cost of sayaji jaw crusher 20 10 see more.Price list for"
"0","13","final token is 'for'","ed to.
Sayaji Crusher Catalogue Au coeur du jardin. Sayaji jaw crushers size and rates indonesia, indonesia is one important market of ogg, what is the cost of sayaji jaw crusher 20 210 sayaji jaw crushers size and contact supplier what is the cost of sayaji jaw crusher 20 10 see more.Price list for"
"0","14","ends an incomplete phrase","ed to.
Sayaji Crusher Catalogue Au coeur du jardin. Sayaji jaw crushers size and rates indonesia, indonesia is one important market of ogg, what is the cost of sayaji jaw crusher 20 210 sayaji jaw crushers size and contact supplier what is the cost of sayaji jaw crusher 20 10 see more.Price list for"
"0","15","preceding text reads 'price list price list price for'","ed to.
Sayaji Crusher Catalogue Au coeur du jardin. Sayaji jaw crushers size and rates indonesia, indonesia is one important market of ogg, what is the cost of sayaji jaw crusher 20 210 sayaji jaw crushers size and contact supplier what is the cost of sayaji jaw crusher 20 10 see more.Price list for"
"0","16","part of a third listing item","ed to.
Sayaji Crusher Catalogue Au coeur du jardin. Sayaji jaw crushers size and rates indonesia, indonesia is one important market of ogg, what is the cost of sayaji jaw crusher 20 210 sayaji jaw crushers size and contact supplier what is the cost of sayaji jaw crusher 20 10 see more.Price list for"
"0","17","expects a noun phrase like 'cement block plant' / 'old machinery parts'","ed to.
Sayaji Crusher Catalogue Au coeur du jardin. Sayaji jaw crushers size and rates indonesia, indonesia is one important market of ogg, what is the cost of sayaji jaw crusher 20 210 sayaji jaw crushers size and contact supplier what is the cost of sayaji jaw crusher 20 10 see more.Price list for"
"1","1","British military history account"," being appointed Adjutant to the New South Wales Scottish Rifles. On the 29th January 1902 he married Edith Kathleen, daughter of Major General Sir George French, at St’ Andrew’s Anglican Cathedral in Sydney. They would have one daughter. In 1904 Maclagan resumed regimental duty in Britain. Promoted"
"1","2","the subject is Captain Agnew"," being appointed Adjutant to the New South Wales Scottish Rifles. On the 29th January 1902 he married Edith Kathleen, daughter of Major General Sir George French, at St’ Andrew’s Anglican Cathedral in Sydney. They would have one daughter. In 1904 Maclagan resumed regimental duty in Britain. Promoted"
"1","3","account of a captain's career"," being appointed Adjutant to the New South Wales Scottish Rifles. On the 29th January 1902 he married Edith Kathleen, daughter of Major General Sir George French, at St’ Andrew’s Anglican Cathedral in Sydney. They would have one daughter. In 1904 Maclagan resumed regimental duty in Britain. Promoted"
"1","4","biographical narrative"," being appointed Adjutant to the New South Wales Scottish Rifles. On the 29th January 1902 he married Edith Kathleen, daughter of Major General Sir George French, at St’ Andrew’s Anglican Cathedral in Sydney. They would have one daughter. In 1904 Maclagan resumed regimental duty in Britain. Promoted"
"1","5","detailing postings"," being appointed Adjutant to the New South Wales Scottish Rifles. On the 29th January 1902 he married Edith Kathleen, daughter of Major General Sir George French, at St’ Andrew’s Anglican Cathedral in Sydney. They would have one daughter. In 1904 Maclagan resumed regimental duty in Britain. Promoted"
"1","6","service during WWI"," being appointed Adjutant to the New South Wales Scottish Rifles. On the 29th January 1902 he married Edith Kathleen, daughter of Major General Sir George French, at St’ Andrew’s Anglican Cathedral in Sydney. They would have one daughter. In 1904 Maclagan resumed regimental duty in Britain. Promoted"
"1","7","career continued with a captaincy"," being appointed Adjutant to the New South Wales Scottish Rifles. On the 29th January 1902 he married Edith Kathleen, daughter of Major General Sir George French, at St’ Andrew’s Anglican Cathedral in Sydney. They would have one daughter. In 1904 Maclagan resumed regimental duty in Britain. Promoted"
"1","8","he was posted to the Royal Marines"," being appointed Adjutant to the New South Wales Scottish Rifles. On the 29th January 1902 he married Edith Kathleen, daughter of Major General Sir George French, at St’ Andrew’s Anglican Cathedral in Sydney. They would have one daughter. In 1904 Maclagan resumed regimental duty in Britain. Promoted"
"1","9","promoted to Major"," being appointed Adjutant to the New South Wales Scottish Rifles. On the 29th January 1902 he married Edith Kathleen, daughter of Major General Sir George French, at St’ Andrew’s Anglican Cathedral in Sydney. They would have one daughter. In 1904 Maclagan resumed regimental duty in Britain. Promoted"
"1","10","lists career promotions with dates and details"," being appointed Adjutant to the New South Wales Scottish Rifles. On the 29th January 1902 he married Edith Kathleen, daughter of Major General Sir George French, at St’ Andrew’s Anglican Cathedral in Sydney. They would have one daughter. In 1904 Maclagan resumed regimental duty in Britain. Promoted"
"1","11","sequence of military rank progression and service history"," being appointed Adjutant to the New South Wales Scottish Rifles. On the 29th January 1902 he married Edith Kathleen, daughter of Major General Sir George French, at St’ Andrew’s Anglican Cathedral in Sydney. They would have one daughter. In 1904 Maclagan resumed regimental duty in Britain. Promoted"
"1","12","final token is 'Promoted'"," being appointed Adjutant to the New South Wales Scottish Rifles. On the 29th January 1902 he married Edith Kathleen, daughter of Major General Sir George French, at St’ Andrew’s Anglican Cathedral in Sydney. They would have one daughter. In 1904 Maclagan resumed regimental duty in Britain. Promoted"
"1","13","final token is mid-sentence"," being appointed Adjutant to the New South Wales Scottish Rifles. On the 29th January 1902 he married Edith Kathleen, daughter of Major General Sir George French, at St’ Andrew’s Anglican Cathedral in Sydney. They would have one daughter. In 1904 Maclagan resumed regimental duty in Britain. Promoted"
"1","14","'Promoted' immediately follows another 'Promoted' (mid-list 'Promoted... Promoted')"," being appointed Adjutant to the New South Wales Scottish Rifles. On the 29th January 1902 he married Edith Kathleen, daughter of Major General Sir George French, at St’ Andrew’s Anglican Cathedral in Sydney. They would have one daughter. In 1904 Maclagan resumed regimental duty in Britain. Promoted"
"1","15","part of a sequence of career promotions"," being appointed Adjutant to the New South Wales Scottish Rifles. On the 29th January 1902 he married Edith Kathleen, daughter of Major General Sir George French, at St’ Andrew’s Anglican Cathedral in Sydney. They would have one daughter. In 1904 Maclagan resumed regimental duty in Britain. Promoted"
"1","16","expects 'Lieutenant Colonel in 1915' / 'Major General in April 1916'"," being appointed Adjutant to the New South Wales Scottish Rifles. On the 29th January 1902 he married Edith Kathleen, daughter of Major General Sir George French, at St’ Andrew’s Anglican Cathedral in Sydney. They would have one daughter. In 1904 Maclagan resumed regimental duty in Britain. Promoted"
"2","1","British","with crewing vessels, conducting marine based surveys and gaining PADI diving certifications – all to better understand the ocean enviroment. She has also been busy setting up a marine plastics awareness campaign online and working on a local fundraising project that tackle ocean debris.
Eloisia has"
"2","2","adventure sports photographer","with crewing vessels, conducting marine based surveys and gaining PADI diving certifications – all to better understand the ocean enviroment. She has also been busy setting up a marine plastics awareness campaign online and working on a local fundraising project that tackle ocean debris.
Eloisia has"
"2","3","eco-conservation focus","with crewing vessels, conducting marine based surveys and gaining PADI diving certifications – all to better understand the ocean enviroment. She has also been busy setting up a marine plastics awareness campaign online and working on a local fundraising project that tackle ocean debris.
Eloisia has"
"2","4","listing her outdoor experiences","with crewing vessels, conducting marine based surveys and gaining PADI diving certifications – all to better understand the ocean enviroment. She has also been busy setting up a marine plastics awareness campaign online and working on a local fundraising project that tackle ocean debris.
Eloisia has"
"2","5","listing qualifications","with crewing vessels, conducting marine based surveys and gaining PADI diving certifications – all to better understand the ocean enviroment. She has also been busy setting up a marine plastics awareness campaign online and working on a local fundraising project that tackle ocean debris.
Eloisia has"
"2","6","for the UK Wildlife Conservation event","with crewing vessels, conducting marine based surveys and gaining PADI diving certifications – all to better understand the ocean enviroment. She has also been busy setting up a marine plastics awareness campaign online and working on a local fundraising project that tackle ocean debris.
Eloisia has"
"2","7","the subject is Sara","with crewing vessels, conducting marine based surveys and gaining PADI diving certifications – all to better understand the ocean enviroment. She has also been busy setting up a marine plastics awareness campaign online and working on a local fundraising project that tackle ocean debris.
Eloisia has"
"2","8","passion for adventure and conservation work","with crewing vessels, conducting marine based surveys and gaining PADI diving certifications – all to better understand the ocean enviroment. She has also been busy setting up a marine plastics awareness campaign online and working on a local fundraising project that tackle ocean debris.
Eloisia has"
"2","9","concluding section listing additional attributes / career highlights","with crewing vessels, conducting marine based surveys and gaining PADI diving certifications – all to better understand the ocean enviroment. She has also been busy setting up a marine plastics awareness campaign online and working on a local fundraising project that tackle ocean debris.
Eloisia has"
"2","10","bio format","with crewing vessels, conducting marine based surveys and gaining PADI diving certifications – all to better understand the ocean enviroment. She has also been busy setting up a marine plastics awareness campaign online and working on a local fundraising project that tackle ocean debris.
Eloisia has"
"2","11","content: her recent projects and goals","with crewing vessels, conducting marine based surveys and gaining PADI diving certifications – all to better understand the ocean enviroment. She has also been busy setting up a marine plastics awareness campaign online and working on a local fundraising project that tackle ocean debris.
Eloisia has"
"2","12","final token is 'has'","with crewing vessels, conducting marine based surveys and gaining PADI diving certifications – all to better understand the ocean enviroment. She has also been busy setting up a marine plastics awareness campaign online and working on a local fundraising project that tackle ocean debris.
Eloisia has"
"2","13","final token is mid-sentence","with crewing vessels, conducting marine based surveys and gaining PADI diving certifications – all to better understand the ocean enviroment. She has also been busy setting up a marine plastics awareness campaign online and working on a local fundraising project that tackle ocean debris.
Eloisia has"
"2","14","the subject is Hannah","with crewing vessels, conducting marine based surveys and gaining PADI diving certifications – all to better understand the ocean enviroment. She has also been busy setting up a marine plastics awareness campaign online and working on a local fundraising project that tackle ocean debris.
Eloisia has"
"2","15","part of a second attribute listing","with crewing vessels, conducting marine based surveys and gaining PADI diving certifications – all to better understand the ocean enviroment. She has also been busy setting up a marine plastics awareness campaign online and working on a local fundraising project that tackle ocean debris.
Eloisia has"
"2","16","expects 'a strong connection to' / 'multiple passions including'","with crewing vessels, conducting marine based surveys and gaining PADI diving certifications – all to better understand the ocean enviroment. She has also been busy setting up a marine plastics awareness campaign online and working on a local fundraising project that tackle ocean debris.
Eloisia has"
"3","1","scientific journal article format","rine Pleuropneumonia: a research community's recommendations for the development of better vaccines.
- Farmer adoption of plot- and farm-level natural resource management practices: Between rhetoric and reality
- Forest-linked livelihoods in a globalized world.
- Geographic bias in citation rates of"
"3","2","with abstracts","rine Pleuropneumonia: a research community's recommendations for the development of better vaccines.
- Farmer adoption of plot- and farm-level natural resource management practices: Between rhetoric and reality
- Forest-linked livelihoods in a globalized world.
- Geographic bias in citation rates of"
"3","3","academic metadata","rine Pleuropneumonia: a research community's recommendations for the development of better vaccines.
- Farmer adoption of plot- and farm-level natural resource management practices: Between rhetoric and reality
- Forest-linked livelihoods in a globalized world.
- Geographic bias in citation rates of"
"3","4","scholarly content about ecology","rine Pleuropneumonia: a research community's recommendations for the development of better vaccines.
- Farmer adoption of plot- and farm-level natural resource management practices: Between rhetoric and reality
- Forest-linked livelihoods in a globalized world.
- Geographic bias in citation rates of"
"3","5","citation metrics","rine Pleuropneumonia: a research community's recommendations for the development of better vaccines.
- Farmer adoption of plot- and farm-level natural resource management practices: Between rhetoric and reality
- Forest-linked livelihoods in a globalized world.
- Geographic bias in citation rates of"
"3","6","an item about publication / citation bias","rine Pleuropneumonia: a research community's recommendations for the development of better vaccines.
- Farmer adoption of plot- and farm-level natural resource management practices: Between rhetoric and reality
- Forest-linked livelihoods in a globalized world.
- Geographic bias in citation rates of"
"3","7","that item is the second item","rine Pleuropneumonia: a research community's recommendations for the development of better vaccines.
- Farmer adoption of plot- and farm-level natural resource management practices: Between rhetoric and reality
- Forest-linked livelihoods in a globalized world.
- Geographic bias in citation rates of"
"3","8","the phrase is 'Gender bias in citation counts of'","rine Pleuropneumonia: a research community's recommendations for the development of better vaccines.
- Farmer adoption of plot- and farm-level natural resource management practices: Between rhetoric and reality
- Forest-linked livelihoods in a globalized world.
- Geographic bias in citation rates of"
"3","9","'citation counts of'","rine Pleuropneumonia: a research community's recommendations for the development of better vaccines.
- Farmer adoption of plot- and farm-level natural resource management practices: Between rhetoric and reality
- Forest-linked livelihoods in a globalized world.
- Geographic bias in citation rates of"
"3","10","suggests a citation analysis / academic metadata study","rine Pleuropneumonia: a research community's recommendations for the development of better vaccines.
- Farmer adoption of plot- and farm-level natural resource management practices: Between rhetoric and reality
- Forest-linked livelihoods in a globalized world.
- Geographic bias in citation rates of"
"3","11","journal or country ranking study","rine Pleuropneumonia: a research community's recommendations for the development of better vaccines.
- Farmer adoption of plot- and farm-level natural resource management practices: Between rhetoric and reality
- Forest-linked livelihoods in a globalized world.
- Geographic bias in citation rates of"
"3","12","implies a third item or data visualization about international research output","rine Pleuropneumonia: a research community's recommendations for the development of better vaccines.
- Farmer adoption of plot- and farm-level natural resource management practices: Between rhetoric and reality
- Forest-linked livelihoods in a globalized world.
- Geographic bias in citation rates of"
"3","13","final token is 'of'","rine Pleuropneumonia: a research community's recommendations for the development of better vaccines.
- Farmer adoption of plot- and farm-level natural resource management practices: Between rhetoric and reality
- Forest-linked livelihoods in a globalized world.
- Geographic bias in citation rates of"
"3","14","ends the incomplete noun phrase 'citation rates of'","rine Pleuropneumonia: a research community's recommendations for the development of better vaccines.
- Farmer adoption of plot- and farm-level natural resource management practices: Between rhetoric and reality
- Forest-linked livelihoods in a globalized world.
- Geographic bias in citation rates of"
"3","15","part of a citation study title","rine Pleuropneumonia: a research community's recommendations for the development of better vaccines.
- Farmer adoption of plot- and farm-level natural resource management practices: Between rhetoric and reality
- Forest-linked livelihoods in a globalized world.
- Geographic bias in citation rates of"
"3","16","expects 'scientific papers' / 'developing country journals'","rine Pleuropneumonia: a research community's recommendations for the development of better vaccines.
- Farmer adoption of plot- and farm-level natural resource management practices: Between rhetoric and reality
- Forest-linked livelihoods in a globalized world.
- Geographic bias in citation rates of"
"4","1","blog post / bylined article","s and backgrounds came out to support Vbha and partake in the vibrant activity accompanied with traditional food and music.
While the Vibha Seattle action center is rather young, only launching in October of 2012, it has accumulated more than 150 volunteers spreading the word about Vibha. The annual"
"4","2","written by a student","s and backgrounds came out to support Vbha and partake in the vibrant activity accompanied with traditional food and music.
While the Vibha Seattle action center is rather young, only launching in October of 2012, it has accumulated more than 150 volunteers spreading the word about Vibha. The annual"
"4","3","informal tone","s and backgrounds came out to support Vbha and partake in the vibrant activity accompanied with traditional food and music.
While the Vibha Seattle action center is rather young, only launching in October of 2012, it has accumulated more than 150 volunteers spreading the word about Vibha. The annual"
"4","4","personal perspective","s and backgrounds came out to support Vbha and partake in the vibrant activity accompanied with traditional food and music.
While the Vibha Seattle action center is rather young, only launching in October of 2012, it has accumulated more than 150 volunteers spreading the word about Vibha. The annual"
"4","5","on Indian culture","s and backgrounds came out to support Vbha and partake in the vibrant activity accompanied with traditional food and music.
While the Vibha Seattle action center is rather young, only launching in October of 2012, it has accumulated more than 150 volunteers spreading the word about Vibha. The annual"
"4","6","and service / volunteering","s and backgrounds came out to support Vbha and partake in the vibrant activity accompanied with traditional food and music.
While the Vibha Seattle action center is rather young, only launching in October of 2012, it has accumulated more than 150 volunteers spreading the word about Vibha. The annual"
"4","7","a high school student's involvement","s and backgrounds came out to support Vbha and partake in the vibrant activity accompanied with traditional food and music.
While the Vibha Seattle action center is rather young, only launching in October of 2012, it has accumulated more than 150 volunteers spreading the word about Vibha. The annual"
"4","8","the Jewish community's charity event","s and backgrounds came out to support Vbha and partake in the vibrant activity accompanied with traditional food and music.
While the Vibha Seattle action center is rather young, only launching in October of 2012, it has accumulated more than 150 volunteers spreading the word about Vibha. The annual"
"4","9","a charity event","s and backgrounds came out to support Vbha and partake in the vibrant activity accompanied with traditional food and music.
While the Vibha Seattle action center is rather young, only launching in October of 2012, it has accumulated more than 150 volunteers spreading the word about Vibha. The annual"
"4","10","'Her passion for the event has grown over the years'","s and backgrounds came out to support Vbha and partake in the vibrant activity accompanied with traditional food and music.
While the Vibha Seattle action center is rather young, only launching in October of 2012, it has accumulated more than 150 volunteers spreading the word about Vibha. The annual"
"4","11","signals information about the fundraising event's purpose","s and backgrounds came out to support Vbha and partake in the vibrant activity accompanied with traditional food and music.
While the Vibha Seattle action center is rather young, only launching in October of 2012, it has accumulated more than 150 volunteers spreading the word about Vibha. The annual"
"4","12","'charity fair'","s and backgrounds came out to support Vbha and partake in the vibrant activity accompanied with traditional food and music.
While the Vibha Seattle action center is rather young, only launching in October of 2012, it has accumulated more than 150 volunteers spreading the word about Vibha. The annual"
"4","13","final token is 'annual'","s and backgrounds came out to support Vbha and partake in the vibrant activity accompanied with traditional food and music.
While the Vibha Seattle action center is rather young, only launching in October of 2012, it has accumulated more than 150 volunteers spreading the word about Vibha. The annual"
"4","14","mid-phrase 'the annual'","s and backgrounds came out to support Vbha and partake in the vibrant activity accompanied with traditional food and music.
While the Vibha Seattle action center is rather young, only launching in October of 2012, it has accumulated more than 150 volunteers spreading the word about Vibha. The annual"
"4","15","directly continuing the sentence about the student's fundraising event","s and backgrounds came out to support Vbha and partake in the vibrant activity accompanied with traditional food and music.
While the Vibha Seattle action center is rather young, only launching in October of 2012, it has accumulated more than 150 volunteers spreading the word about Vibha. The annual"
"4","16","expects 'Charity Fair' / 'India Day competition'","s and backgrounds came out to support Vbha and partake in the vibrant activity accompanied with traditional food and music.
While the Vibha Seattle action center is rather young, only launching in October of 2012, it has accumulated more than 150 volunteers spreading the word about Vibha. The annual"
"5","1","Australian","er overflows contribute to the contamination of the stormwater discharge. Following the installation of an enclosure around the Jump Platform area, the surface water quality results show that the enterococci concentration fell from a median value of 865 CFU/100mL prior to the baffle installation, to"
"5","2","environmental / technical report format","er overflows contribute to the contamination of the stormwater discharge. Following the installation of an enclosure around the Jump Platform area, the surface water quality results show that the enterococci concentration fell from a median value of 865 CFU/100mL prior to the baffle installation, to"
"5","3","scientific data in a structured abstract format","er overflows contribute to the contamination of the stormwater discharge. Following the installation of an enclosure around the Jump Platform area, the surface water quality results show that the enterococci concentration fell from a median value of 865 CFU/100mL prior to the baffle installation, to"
"5","4","water quality monitoring results","er overflows contribute to the contamination of the stormwater discharge. Following the installation of an enclosure around the Jump Platform area, the surface water quality results show that the enterococci concentration fell from a median value of 865 CFU/100mL prior to the baffle installation, to"
"5","5","for a dairy farm","er overflows contribute to the contamination of the stormwater discharge. Following the installation of an enclosure around the Jump Platform area, the surface water quality results show that the enterococci concentration fell from a median value of 865 CFU/100mL prior to the baffle installation, to"
"5","6","E. coli levels","er overflows contribute to the contamination of the stormwater discharge. Following the installation of an enclosure around the Jump Platform area, the surface water quality results show that the enterococci concentration fell from a median value of 865 CFU/100mL prior to the baffle installation, to"
"5","7","'the BMP program'","er overflows contribute to the contamination of the stormwater discharge. Following the installation of an enclosure around the Jump Platform area, the surface water quality results show that the enterococci concentration fell from a median value of 865 CFU/100mL prior to the baffle installation, to"
"5","8","levels reduced following the implementation","er overflows contribute to the contamination of the stormwater discharge. Following the installation of an enclosure around the Jump Platform area, the surface water quality results show that the enterococci concentration fell from a median value of 865 CFU/100mL prior to the baffle installation, to"
"5","9","'mean' levels","er overflows contribute to the contamination of the stormwater discharge. Following the installation of an enclosure around the Jump Platform area, the surface water quality results show that the enterococci concentration fell from a median value of 865 CFU/100mL prior to the baffle installation, to"
"5","10","numerical pre/post comparison","er overflows contribute to the contamination of the stormwater discharge. Following the installation of an enclosure around the Jump Platform area, the surface water quality results show that the enterococci concentration fell from a median value of 865 CFU/100mL prior to the baffle installation, to"
"5","11","a specific range is expected next","er overflows contribute to the contamination of the stormwater discharge. Following the installation of an enclosure around the Jump Platform area, the surface water quality results show that the enterococci concentration fell from a median value of 865 CFU/100mL prior to the baffle installation, to"
"5","12","final token is 'to'","er overflows contribute to the contamination of the stormwater discharge. Following the installation of an enclosure around the Jump Platform area, the surface water quality results show that the enterococci concentration fell from a median value of 865 CFU/100mL prior to the baffle installation, to"
"5","13","ends an incomplete numerical comparison clause","er overflows contribute to the contamination of the stormwater discharge. Following the installation of an enclosure around the Jump Platform area, the surface water quality results show that the enterococci concentration fell from a median value of 865 CFU/100mL prior to the baffle installation, to"
"5","14","'from an average count of 1,450 per litre'","er overflows contribute to the contamination of the stormwater discharge. Following the installation of an enclosure around the Jump Platform area, the surface water quality results show that the enterococci concentration fell from a median value of 865 CFU/100mL prior to the baffle installation, to"
"5","15","requires a numeric value next ('a mean of 150' / 'zero')","er overflows contribute to the contamination of the stormwater discharge. Following the installation of an enclosure around the Jump Platform area, the surface water quality results show that the enterococci concentration fell from a median value of 865 CFU/100mL prior to the baffle installation, to"
"6","1","scientific paper abstract format","d afterglow light curves expected in this scenario and derive algebraic expressions for the flux ratios of the emission from the two jet components at the main transition times in the light curve. For viewing angles θobs < θj,n we find that the contribution of the wide component to the optical after"
"6","2","LaTeX formatting","d afterglow light curves expected in this scenario and derive algebraic expressions for the flux ratios of the emission from the two jet components at the main transition times in the light curve. For viewing angles θobs < θj,n we find that the contribution of the wide component to the optical after"
"6","3","discussing GRB jet models","d afterglow light curves expected in this scenario and derive algebraic expressions for the flux ratios of the emission from the two jet components at the main transition times in the light curve. For viewing angles θobs < θj,n we find that the contribution of the wide component to the optical after"
"6","4","using numerical simulations","d afterglow light curves expected in this scenario and derive algebraic expressions for the flux ratios of the emission from the two jet components at the main transition times in the light curve. For viewing angles θobs < θj,n we find that the contribution of the wide component to the optical after"
"6","5","observational constraints","d afterglow light curves expected in this scenario and derive algebraic expressions for the flux ratios of the emission from the two jet components at the main transition times in the light curve. For viewing angles θobs < θj,n we find that the contribution of the wide component to the optical after"
"6","6","on GRB afterglow emission","d afterglow light curves expected in this scenario and derive algebraic expressions for the flux ratios of the emission from the two jet components at the main transition times in the light curve. For viewing angles θobs < θj,n we find that the contribution of the wide component to the optical after"
"6","7","the model predicts time-dependent polarization","d afterglow light curves expected in this scenario and derive algebraic expressions for the flux ratios of the emission from the two jet components at the main transition times in the light curve. For viewing angles θobs < θj,n we find that the contribution of the wide component to the optical after"
"6","8","of the progenitor's cold dust","d afterglow light curves expected in this scenario and derive algebraic expressions for the flux ratios of the emission from the two jet components at the main transition times in the light curve. For viewing angles θobs < θj,n we find that the contribution of the wide component to the optical after"
"6","9","concluding statement about the afterglow light curve","d afterglow light curves expected in this scenario and derive algebraic expressions for the flux ratios of the emission from the two jet components at the main transition times in the light curve. For viewing angles θobs < θj,n we find that the contribution of the wide component to the optical after"
"6","10","suggests the term 'afterglow flux'","d afterglow light curves expected in this scenario and derive algebraic expressions for the flux ratios of the emission from the two jet components at the main transition times in the light curve. For viewing angles θobs < θj,n we find that the contribution of the wide component to the optical after"
"6","11","final token is 'after'","d afterglow light curves expected in this scenario and derive algebraic expressions for the flux ratios of the emission from the two jet components at the main transition times in the light curve. For viewing angles θobs < θj,n we find that the contribution of the wide component to the optical after"
"6","12","final token is mid-word (after|glow)","d afterglow light curves expected in this scenario and derive algebraic expressions for the flux ratios of the emission from the two jet components at the main transition times in the light curve. For viewing angles θobs < θj,n we find that the contribution of the wide component to the optical after"
"6","13","preceding text reads 'the cold afterglow after'","d afterglow light curves expected in this scenario and derive algebraic expressions for the flux ratios of the emission from the two jet components at the main transition times in the light curve. For viewing angles θobs < θj,n we find that the contribution of the wide component to the optical after"
"6","14","contains the phrase 'the observed GRB optical afterglow's delayed decay'","d afterglow light curves expected in this scenario and derive algebraic expressions for the flux ratios of the emission from the two jet components at the main transition times in the light curve. For viewing angles θobs < θj,n we find that the contribution of the wide component to the optical after"
"6","15","expects 'glow flux' / 'afterglow light curve' / 'glow decay is detected'","d afterglow light curves expected in this scenario and derive algebraic expressions for the flux ratios of the emission from the two jet components at the main transition times in the light curve. For viewing angles θobs < θj,n we find that the contribution of the wide component to the optical after"
"7","1","news release format","afely as possible.
The in-flight Japanese battery incident followed an earlier 787 battery incident that occurred on the ground in Boston on January 7, 2013. The AD is prompted by this second incident involving a lithium ion battery. The battery failures resulted in release of flammable electrolytes"
"7","2","corporate","afely as possible.
The in-flight Japanese battery incident followed an earlier 787 battery incident that occurred on the ground in Boston on January 7, 2013. The AD is prompted by this second incident involving a lithium ion battery. The battery failures resulted in release of flammable electrolytes"
"7","3","U.S. government safety announcement","afely as possible.
The in-flight Japanese battery incident followed an earlier 787 battery incident that occurred on the ground in Boston on January 7, 2013. The AD is prompted by this second incident involving a lithium ion battery. The battery failures resulted in release of flammable electrolytes"
"7","4","describing a Boeing aircraft event","afely as possible.
The in-flight Japanese battery incident followed an earlier 787 battery incident that occurred on the ground in Boston on January 7, 2013. The AD is prompted by this second incident involving a lithium ion battery. The battery failures resulted in release of flammable electrolytes"
"7","5","factual details about autonomous vehicle testing","afely as possible.
The in-flight Japanese battery incident followed an earlier 787 battery incident that occurred on the ground in Boston on January 7, 2013. The AD is prompted by this second incident involving a lithium ion battery. The battery failures resulted in release of flammable electrolytes"
