slot_id,context_id,split,slot_type,focus_word,label_orig,asserts,eligible,ineligible_reason,n_false_in_play,n_false_descriptive,has_correct,in_primary,natural_error,primary_exclusion,deletion_delta,s_carrier,mu_correct,o_correct,n_par_correct,correct_category,n_false_mu,G,G_orig,correct_first,correct_first_orig,frac_won,nat_diff,nat_diff_orig,mu_original,mu_correction
c14_entity,14,eval,entity,Canadian,contradicted,yes,True,,1,0,False,False,False,no_valid_correction,-0.024840632079003777,0.8600896736463156,,,,,,,,,,,,,,
c15_entity,15,eval,entity,Middle,contradicted,yes,True,,1,0,False,False,False,no_valid_correction,-0.014266678574936131,0.8905727037503295,,,,,,,,,,,,,,
c15_detail,15,eval,detail,2006,contradicted,yes,True,,1,0,False,False,False,no_valid_correction,-0.031122526878036516,0.8905727037503295,,,,,,,,,,,,,,
c16_entity,16,eval,entity,UK,contradicted,no,False,no_claim,0,0,False,False,False,,,0.8158535215946741,,,,,,,,,,,,,,
c16_detail,16,eval,detail,earlier,contradicted,yes,True,,1,0,False,False,False,no_valid_correction,-0.051831554675976554,0.8158535215946741,,,,,,,,,,,,,,
c17_entity,17,eval,entity,Victorian,contradicted,yes,True,,2,0,False,False,False,no_valid_correction,-0.026453668755862747,0.8722226179668602,,,,,,,,,,,,,,
c18_entity,18,eval,entity,Irish,contradicted,yes,True,,1,1,False,False,False,no_valid_correction,-0.025046041624045334,0.9052087908598072,,,,,,,,,,,,,,
c18_detail,18,eval,detail,1145,contradicted,yes,True,,1,0,False,False,False,no_valid_correction,-0.026058630795520288,0.9052087908598072,,,,,,,,,,,,,,
c19_entity,19,eval,entity,Copenhagen,contradicted,yes,True,,1,0,False,False,False,no_valid_correction,-0.03924594898257483,0.8924481993325539,,,,,,,,,,,,,,
c20_entity,20,eval,entity,Burnford,contradicted,yes,True,,2,0,False,False,False,no_valid_correction,-0.02272120181264703,0.86946816317733,,,,,,,,,,,,,,
c21_entity,21,eval,entity,Cincinnati's,contradicted,yes,True,,1,0,False,False,False,no_valid_correction,-0.024650544125687346,0.8618799064221891,,,,,,,,,,,,,,
c22_entity,22,eval,entity,American,contradicted,yes,True,,1,0,True,True,True,,-0.01962426898177616,0.8637001289651631,0.8611127793692844,0.8655874275949732,2.0,correction,1.0,0.007745868076981188,0.008041377465881294,1.0,1.0,1.0,0.001540943585075949,0.0018872986298100747,0.8595718357842085,0.8611127793692844
c23_entity,23,eval,entity,Greek,contradicted,yes,True,,2,0,False,False,False,no_valid_correction,-0.01060316552020757,0.8629616537531732,,,,,,,,,,,,,,
c24_entity,24,eval,entity,Wendel,contradicted,yes,True,,2,0,False,False,False,no_valid_correction,-0.03094493541490939,0.910433956682126,,,,,,,,,,,,,,
c24_detail,24,eval,detail,22,contradicted,yes,True,,2,0,False,False,False,no_valid_correction,-0.029134847696137944,0.910433956682126,,,,,,,,,,,,,,
c25_entity,25,eval,entity,X,contradicted,yes,True,,2,0,False,False,False,no_valid_correction,-0.027296579778525953,0.8778747339917803,,,,,,,,,,,,,,
c26_entity,26,eval,entity,Royal,entailed,yes,False,fact_repeated,0,0,False,False,False,,,0.8608345934708416,,,,,,,,,,,,,,
c26_detail,26,eval,detail,284,contradicted,yes,True,,1,0,False,False,False,no_valid_correction,-0.014353053032048924,0.8608345934708416,,,,,,,,,,,,,,
c27_entity,27,eval,entity,Egyptian,contradicted,yes,True,,2,0,False,False,False,no_valid_correction,-0.037394088803321734,0.8817457160078834,,,,,,,,,,,,,,
c28_entity,28,eval,entity,Christopher,contradicted,yes,True,,1,0,False,False,False,no_valid_correction,-0.031144644238919383,0.8849390108935747,,,,,,,,,,,,,,
c28_detail,28,eval,detail,1999,contradicted,yes,True,,2,0,False,False,False,no_valid_correction,-0.030671077310587935,0.8849390108935747,,,,,,,,,,,,,,
c29_entity,29,eval,entity,Wikipedia-style,contradicted,no,False,no_claim,0,0,False,False,False,,,0.9053139599628196,,,,,,,,,,,,,,
c29_detail,29,eval,detail,271,contradicted,yes,True,,2,0,False,False,False,no_valid_correction,-0.03256224868570645,0.9053139599628196,,,,,,,,,,,,,,
c30_entity,30,eval,entity,England,contradicted,yes,True,,2,0,False,False,False,no_valid_correction,-0.05325340414999813,0.8678605185493107,,,,,,,,,,,,,,
c30_detail,30,eval,detail,one,contradicted,yes,True,,2,0,False,False,False,no_valid_correction,-0.0486975042332215,0.8678605185493107,,,,,,,,,,,,,,
c31_entity,31,eval,entity,New,contradicted,yes,True,,1,0,False,False,False,no_valid_correction,-0.03999125550458327,0.8874128814402656,,,,,,,,,,,,,,
c31_detail,31,eval,detail,One,contradicted,yes,True,,1,0,False,False,False,no_valid_correction,-0.053654621310584294,0.8874128814402656,,,,,,,,,,,,,,
c32_entity,32,eval,entity,Ohio,contradicted,yes,False,fact_repeated,0,0,False,False,False,,,0.8910982270930855,,,,,,,,,,,,,,
c32_detail,32,eval,detail,7,contradicted,yes,True,,2,0,False,False,False,no_valid_correction,-0.02604199345306424,0.8910982270930855,,,,,,,,,,,,,,
c33_entity,33,eval,entity,Canadian,contradicted,yes,True,,1,0,False,False,False,no_valid_correction,-0.025577249104671962,0.8344891085085681,,,,,,,,,,,,,,
c35_entity,35,eval,entity,John,contradicted,yes,True,,2,0,False,False,False,no_valid_correction,-0.0006884002947744605,0.9032780566358088,,,,,,,,,,,,,,
c35_detail,35,eval,detail,1322,contradicted,yes,True,,1,0,False,False,False,no_valid_correction,-0.0006461776556874188,0.9032780566358088,,,,,,,,,,,,,,
c36_entity,36,eval,entity,Hopeful,contradicted,yes,True,,2,0,True,True,True,,-0.101737016355403,0.8757004229483661,0.8772565842543341,0.8731386845544115,2.0,correction,2.0,0.00021503734275740705,-5.613110393554166e-05,0.0,0.0,0.5,-0.002695372802860474,-0.0025617383939546823,0.8799519570571945,0.8772565842543341
c37_entity,37,eval,entity,Dickensian,contradicted,yes,True,,2,0,True,True,True,,-0.06101081478929693,0.8226641619771717,0.8252004073063223,0.8276500692436131,2.0,correction,2.0,0.005725638040214309,0.0044739224156602475,1.0,1.0,1.0,0.006470083375329616,0.004985907266441325,0.8187303239309927,0.8252004073063223
c38_entity,38,eval,entity,Eden,contradicted,yes,True,,1,0,False,False,False,no_valid_correction,-0.057382527362268676,0.9051324626124364,,,,,,,,,,,,,,
