stim_idx,doc_idx,split,topic_true,topic_foreign,foreign_stim_idx,error,p3_n_tok_true,p3_n_tok_foreign,base_p3_true,base_p3_foreign,base_p3_true_swap,base_p3_foreign_swap,base_p3_true_noinj,base_p3_foreign_noinj,base_p3_true_pt,base_p3_foreign_pt,cc_n_tok_true,cc_n_tok_foreign,base_cc_true,base_cc_foreign,base_cc_true_swap,base_cc_foreign_swap,base_cc_true_noinj,base_cc_foreign_noinj,base_cc_true_pt,base_cc_foreign_pt,av_p3_true,av_p3_foreign,av_p3_true_swap,av_p3_foreign_swap,av_p3_true_noinj,av_p3_foreign_noinj,av_cc_true,av_cc_foreign,av_cc_true_swap,av_cc_foreign_swap,av_cc_true_noinj,av_cc_foreign_noinj,text_true,text_true_noinj,text_n_tok_true,text_foreign,text_foreign_noinj,text_n_tok_foreign,text_prefix_tokens
10,74,pilot,"Galveston, Texas",Protein,110,,5,1,-32.967227935791016,-22.598526000976562,-33.179107666015625,-24.827451705932617,-30.948352813720703,-22.007911682128906,-6.593445587158203,-22.598526000976562,5,1,-39.56859588623047,-31.208463668823242,-37.81277084350586,-30.414762496948242,-38.42500686645508,-24.838119506835938,-7.913719177246094,-31.208463668823242,-8.231406211853027,-22.244535446166992,-26.392784118652344,-5.7768988609313965,-20.502029418945312,-16.61141014099121,-14.896613121032717,-24.897615432739254,-27.0362491607666,-11.898307800292969,-21.329978942871097,-17.597457885742188,-3.2385365962982178,-14.868488311767578,5,-19.049606323242188,-13.006309509277344,1,154
11,399,pilot,G.I. Joe: Retaliation,2013 – 14 York City F.C. season,111,,8,15,-39.61659622192383,-64.77693176269531,-36.247013092041016,-68.5455322265625,-34.90207290649414,-60.25983810424805,-4.9520745277404785,-4.318462117513021,8,15,-47.87786865234375,-72.70391082763672,-46.38106918334961,-83.18561553955078,-43.52748107910156,-70.37641143798828,-5.984733581542969,-4.846927388509115,-23.84131622314453,-95.67369079589844,-39.89714813232422,-38.80665969848633,-29.575090408325195,-63.909889221191406,-26.410764694213867,-97.69224548339844,-44.61151123046875,-38.05351638793945,-32.51554870605469,-60.41678237915039,-2.1920385360717773,-18.769935607910156,8,-67.86898040771484,-36.78007507324219,15,349
12,457,pilot,"Strand, London",2 / 4th Machine Gun Battalion (Australia),112,,3,12,-42.64985275268555,-98.77208709716797,-41.21165084838867,-100.82612609863281,-47.023048400878906,-90.4450912475586,-14.216617584228516,-8.23100725809733,3,12,-53.63699722290039,-110.23768615722656,-51.84939956665039,-108.76274871826172,-64.3564682006836,-100.15653991699219,-17.87899907430013,-9.186473846435547,-20.749555587768555,-102.80046844482422,-49.33170318603515,-51.41060256958008,-41.52161407470703,-65.68612670898438,-26.18004035949707,-107.84293365478516,-50.10790252685547,-51.646575927734375,-42.259029388427734,-66.1447982788086,-7.383345127105713,-27.934829711914062,3,-63.247802734375,-58.61112976074219,12,212
13,117,pilot,USS Breese (DD-122),Hadji Ali,113,,10,3,-56.05434799194336,-34.797569274902344,-57.07758712768555,-36.505184173583984,-51.9533576965332,-34.12580108642578,-5.605434799194336,-11.599189758300781,10,3,-63.998043060302734,-41.83858871459961,-62.00554656982422,-41.007110595703125,-58.13252258300781,-44.29456329345703,-6.399804306030274,-13.94619623819987,-31.20196533203125,-49.333717346191406,-45.816795349121094,-30.435033798217773,-34.3990478515625,-22.453031539916992,-34.67531967163086,-48.99468994140625,-46.75860595703125,-30.800613403320312,-35.90928268432617,-23.380685806274418,-5.8421101570129395,-35.1585693359375,10,-31.0515079498291,-20.183454513549805,3,291
14,472,pilot,Bath Assembly Rooms,Christmas 1994 nor 'easter,114,,3,10,-39.669979095458984,-85.12857055664062,-37.115692138671875,-85.33940124511719,-38.35284423828125,-86.62384033203125,-13.223326365152994,-8.512857055664062,3,10,-45.04951095581055,-92.22660064697266,-35.838748931884766,-87.56338500976562,-37.396995544433594,-86.57379150390625,-15.01650365193685,-9.222660064697266,-21.25839614868164,-93.33454895019533,-58.43714904785156,-68.02790069580078,-41.610008239746094,-61.303688049316406,-24.9853572845459,-97.77184295654295,-56.128883361816406,-69.6124496459961,-42.03211212158203,-62.608192443847656,-3.7047064304351807,-22.926651000976562,3,-62.42827224731445,-56.19089889526367,10,396
15,454,pilot,Odyssey Number Five,Clocks (song),115,,3,5,-42.59796905517578,-49.424896240234375,-42.481082916259766,-49.51579284667969,-43.26423645019531,-42.25136184692383,-14.199323018391928,-9.884979248046875,3,5,-43.8466911315918,-55.50408172607422,-49.52768325805664,-63.70500946044922,-50.76294708251953,-49.68374252319336,-14.6155637105306,-11.100816345214843,-36.152801513671875,-36.69679260253906,-34.32698440551758,-30.59614372253418,-34.09052658081055,-34.40052795410156,-39.116004943847656,-38.74814987182617,-36.042083740234375,-31.846315383911133,-38.05774688720703,-35.0407829284668,-4.457292556762695,-25.954639434814453,3,-27.622882843017578,-34.42289733886719,5,436
16,167,pilot,Harold Innis,Trials and Tribble-ations,116,,3,6,-31.333749771118164,-40.12987518310547,-35.38612747192383,-42.783348083496094,-29.071571350097656,-39.99098205566406,-10.444583257039389,-6.688312530517578,3,6,-37.192352294921875,-46.63483428955078,-35.208927154541016,-49.2713623046875,-30.20667266845703,-41.882259368896484,-12.397450764973959,-7.772472381591797,-9.253039360046388,-51.608028411865234,-30.602371215820312,-36.557621002197266,-21.75900650024414,-46.48721694946289,-13.355124473571776,-54.9419059753418,-29.954465866088867,-38.34501266479492,-22.427730560302734,-47.947235107421875,-2.160736560821533,-18.31005859375,3,-34.639625549316406,-28.78400421142578,6,61
17,100,pilot,World War Z,Marauders (Star Trek: Enterprise),117,,3,9,-33.526092529296875,-65.5374526977539,-35.6628532409668,-62.39472198486328,-33.722171783447266,-62.152915954589844,-11.175364176432291,-7.281939188639323,3,9,-39.72865295410156,-71.7862319946289,-43.56244659423828,-68.07528686523438,-42.73500061035156,-75.84619140625,-13.242884318033854,-7.976247999403212,-17.12742805480957,-44.59186553955078,-20.88034439086914,-38.88029098510742,-22.196983337402344,-43.792816162109375,-18.613101959228516,-44.46857452392578,-22.410099029541016,-37.43206787109375,-24.323402404785156,-43.60308837890625,-5.188191890716553,-18.829090118408203,3,-48.935546875,-34.340980529785156,9,27
18,353,pilot,Boise National Forest,Sang Pencerah,118,,3,4,-36.04927062988281,-59.620059967041016,-33.92475509643555,-62.45023727416992,-34.48344039916992,-54.65665817260742,-12.016423543294271,-14.905014991760254,3,4,-42.954490661621094,-64.0907974243164,-38.03931427001953,-67.41162872314453,-35.19898223876953,-60.82289123535156,-14.318163553873697,-16.0226993560791,-24.181955337524418,-60.57781982421875,-44.7027473449707,-39.333717346191406,-27.748682022094727,-44.01963424682617,-24.70947265625,-63.94188690185547,-46.03472137451172,-42.466434478759766,-29.676652908325195,-47.55198669433594,-1.0073885917663574,-18.299102783203125,3,-47.16210174560547,-28.285903930664062,4,56
19,592,pilot,"Richard Nixon presidential campaign, 1968",Mogadishu,119,,10,4,-47.856056213378906,-34.54292678833008,-44.817996978759766,-32.10340118408203,-40.093658447265625,-35.602760314941406,-4.785605621337891,-8.63573169708252,10,4,-52.91988754272461,-38.65412902832031,-52.284061431884766,-38.0103759765625,-51.577598571777344,-39.54388427734375,-5.291988754272461,-9.663532257080078,-35.539791107177734,-26.70105743408203,-70.74446105957031,-13.33283233642578,-43.91388702392578,-21.215587615966797,-41.78071212768555,-27.99607276916504,-72.69859313964844,-16.052358627319336,-45.535362243652344,-22.14001083374023,-12.656286239624023,-25.142568588256836,10,-25.040565490722656,-16.125320434570312,4,255
20,270,pilot,Battle of Hubbardton,Chapter 1 (House of Cards),120,,4,8,-38.6534423828125,-48.413326263427734,-45.145450592041016,-46.68156051635742,-38.19898986816406,-42.30956268310547,-9.663360595703125,-6.051665782928467,4,8,-44.37517547607422,-57.113529205322266,-49.7769889831543,-53.75962448120117,-41.06669616699219,-44.10366439819336,-11.093793869018555,-7.139191150665283,-25.636011123657227,-46.8907470703125,-45.69249725341797,-34.92053985595703,-26.220739364624023,-33.61614227294922,-27.425148010253903,-48.23006820678711,-45.46116256713867,-36.56363296508789,-26.66017723083496,-35.618797302246094,-6.777293682098389,-24.421260833740234,4,-38.50656509399414,-32.38581466674805,8,217
21,459,pilot,Dave Sisler,The Stolen Eagle,121,,4,4,-36.52463150024414,-49.368202209472656,-33.59383773803711,-40.72185516357422,-34.56708526611328,-47.11380386352539,-9.131157875061035,-12.342050552368164,4,4,-44.0923957824707,-58.364044189453125,-37.48272705078125,-51.192535400390625,-41.25703430175781,-56.505409240722656,-11.023098945617676,-14.591011047363281,-29.24185562133789,-34.80571746826172,-32.84526824951172,-32.13151168823242,-29.42535972595215,-34.59684371948242,-30.912988662719727,-37.36763000488281,-34.60279083251953,-33.57530212402344,-30.87388801574707,-35.65525817871094,-1.9028034210205078,-19.486591339111328,4,-34.330413818359375,-28.556081771850586,4,19
22,536,pilot,"George Calvert, 1st Baron Baltimore",History of Braathens SAFE (1946 – 93),122,,9,16,-40.703163146972656,-101.82401275634766,-42.07453918457031,-101.81240844726562,-42.32636642456055,-98.521728515625,-4.522573682996962,-6.3640007972717285,9,16,-48.06194305419922,-114.50731658935547,-48.33116912841797,-113.8836669921875,-45.90476608276367,-110.23243713378906,-5.340215894911024,-7.156707286834717,-18.75998306274414,-108.53717041015624,-56.86407470703125,-80.90836334228516,-32.24300765991211,-100.46434020996094,-19.624786376953125,-111.7757568359375,-57.85902404785156,-85.09241485595703,-33.67960739135742,-104.58206176757812,-0.32975828647613525,-20.165485382080078,9,-78.03274536132812,-69.57854461669922,16,21
23,83,pilot,Hemmema,Loverboy (Mariah Carey song),123,,3,8,-47.11625671386719,-63.675968170166016,-38.45769119262695,-62.875732421875,-38.597408294677734,-54.58098220825195,-15.705418904622396,-7.959496021270752,3,8,-53.11250686645508,-68.3992691040039,-49.364070892333984,-68.989501953125,-48.88117218017578,-59.9239387512207,-17.704168955485027,-8.549908638000488,-40.20854187011719,-72.41484832763672,-45.543235778808594,-40.6118278503418,-35.33676528930664,-43.118770599365234,-40.72607421875,-71.7115249633789,-47.27448272705078,-43.374977111816406,-39.04926300048828,-44.12102890014648,-3.6585898399353027,-25.50543212890625,3,-53.307498931884766,-41.41037368774414,8,277
24,524,pilot,Far Away Places (Mad Men),Stefan Wever,124,,7,3,-62.50453186035156,-38.50355529785156,-64.36536407470703,-38.66845703125,-61.013145446777344,-37.9859733581543,-8.92921883719308,-12.834518432617188,7,3,-72.8858413696289,-39.74558639526367,-74.09416198730469,-45.17090606689453,-70.42234802246094,-41.519256591796875,-10.41226305280413,-13.248528798421225,-50.86491775512695,-32.94615936279297,-68.07595825195312,-37.2244873046875,-48.22968673706055,-28.19668960571289,-53.40913009643555,-35.955020904541016,-70.3526382446289,-37.76386642456055,-50.65285110473633,-29.45976448059082,-16.902202606201172,-45.8410758972168,7,-33.28471374511719,-29.69756507873535,3,144
25,18,pilot,John Cullen,Corpus Christi Bay,125,,3,4,-40.33002853393555,-39.67021179199219,-40.61262893676758,-40.12983703613281,-40.60945510864258,-37.92058181762695,-13.443342844645182,-9.917552947998047,3,4,-43.14377975463867,-47.586517333984375,-42.808128356933594,-48.51982116699219,-40.13245391845703,-43.261837005615234,-14.38125991821289,-11.896629333496094,-18.376949310302734,-26.829986572265625,-23.659563064575195,-20.431772232055664,-24.264373779296875,-26.144458770751953,-21.746356964111328,-28.930339813232425,-26.392436981201172,-22.96447372436523,-25.42167282104492,-27.749265670776367,-5.5799560546875,-17.323226928710938,3,-31.13971710205078,-21.766647338867188,4,395
26,134,pilot,Mega Man & Bass,1998 National League Wild Card tie-breaker game,126,,4,13,-51.92102813720703,-49.66143035888672,-52.68973159790039,-51.492000579833984,-45.90419006347656,-47.09428787231445,-12.980257034301758,-3.820110027606671,4,13,-63.74247741699219,-68.5881118774414,-63.11140060424805,-67.18242645263672,-60.430442810058594,-67.30638885498047,-15.935619354248047,-5.276008605957031,-29.4291934967041,-74.11164093017578,-59.48514938354492,-57.16828155517578,-39.77677154541016,-61.04438400268555,-31.288179397583008,-75.24531555175781,-61.59642028808594,-59.3277702331543,-43.02287673950195,-64.76164245605469,-3.766676187515259,-22.694496154785156,4,-55.66718292236328,-33.01644515991211,13,245
27,265,pilot,Rio de Janeiro bid for the 2016 Summer Olympics,The Good Terrorist,127,,13,4,-38.853702545166016,-42.1341667175293,-38.54678726196289,-41.80754852294922,-37.369903564453125,-38.11126708984375,-2.988746349628155,-10.533541679382324,13,4,-46.77135467529297,-50.46152877807617,-47.598480224609375,-51.021766662597656,-44.27510070800781,-46.4751091003418,-3.5977965134840746,-12.615382194519043,-29.18012237548828,-41.45573806762695,-65.78535461425781,-32.71624755859375,-40.54535675048828,-28.692703247070312,-28.1013240814209,-42.75782775878906,-68.1648941040039,-34.030540466308594,-41.90888214111328,-29.14556121826172,-7.00798225402832,-23.844894409179688,13,-37.44220733642578,-23.153533935546875,4,416
28,109,pilot,The Importance of Being Earnest,Arikamedu,128,,6,4,-42.18605422973633,-40.210304260253906,-39.17060089111328,-45.083984375,-35.945072174072266,-34.61549758911133,-7.031009038289388,-10.052576065063477,6,4,-44.12312698364258,-40.749271392822266,-44.489891052246094,-50.90120315551758,-40.0732421875,-38.39299392700195,-7.353854497273763,-10.187317848205566,-28.191940307617188,-40.5274543762207,-53.89939498901367,-18.87845802307129,-26.425132751464844,-24.86334800720215,-29.750513076782227,-40.252647399902344,-56.00716781616211,-22.098655700683594,-27.099166870117188,-25.33966827392578,-2.5137126445770264,-19.2912654876709,6,-34.70165252685547,-20.34091567993164,4,205
29,111,pilot,HMS Boreas (H77),"West Hendford Cricket Ground, Yeovil",129,,9,9,-52.651798248291016,-71.98052215576172,-57.423885345458984,-75.42044067382812,-54.14603042602539,-73.77887725830078,-5.850199805365668,-7.997835795084636,9,9,-60.37677001953125,-86.7642822265625,-60.83641815185547,-89.49082946777344,-54.141780853271484,-87.55651092529297,-6.708530002170139,-9.64047580295139,-39.30178451538086,-73.71868133544922,-55.2052001953125,-66.95608520507812,-40.774654388427734,-70.57127380371094,-43.68226623535156,-76.70133209228516,-55.925411224365234,-70.0111312866211,-42.35982131958008,-73.92955017089844,-9.182639122009277,-37.26290512084961,9,-65.91950988769531,-57.994529724121094,9,488
30,126,pilot,St Nazaire Raid,Johnson – Corey – Chaykovsky reaction,130,,4,9,-55.3424072265625,-91.7430191040039,-53.560359954833984,-93.79386138916016,-51.360687255859375,-87.20722961425781,-13.835601806640625,-10.193668789333767,4,9,-61.29937744140625,-93.942138671875,-60.824764251708984,-97.73719787597656,-55.13374328613281,-89.90937805175781,-15.324844360351562,-10.43801540798611,-32.57884979248047,-101.7216796875,-45.04773712158203,-53.1196403503418,-36.18268585205078,-91.72268676757812,-33.60936737060547,-100.73445129394533,-47.19976806640625,-60.630001068115234,-38.29673767089844,-90.62146759033205,-5.8296332359313965,-28.462772369384766,4,-77.2752685546875,-60.8919792175293,9,433
31,442,pilot,Ouw Peh Tjoa,Hydnellum peckii,131,,7,7,-72.59197235107422,-46.549888610839844,-70.38247680664062,-47.64897537231445,-58.69291687011719,-43.91170883178711,-10.370281764439174,-6.649984087262835,7,7,-78.82181549072266,-49.58073806762695,-75.68277740478516,-47.98259353637695,-65.43318939208984,-44.61506271362305,-11.260259355817523,-7.082962581089565,-66.76045989990234,-56.59340286254883,-60.24809646606445,-36.9344482421875,-53.68250274658203,-37.116355895996094,-68.65684509277344,-57.316253662109375,-61.82357025146485,-38.899810791015625,-56.0399284362793,-38.29952621459961,-5.278135299682617,-43.652320861816406,7,-41.165283203125,-26.230581283569336,7,366
32,545,pilot,Principe Amedeo-class ironclad,The One I Love (manga),132,,10,8,-74.07167053222656,-56.32966613769531,-80.02587127685547,-50.56996536254883,-72.04422760009766,-48.75904083251953,-7.407167053222656,-7.041208267211914,10,8,-79.06948852539062,-68.98699188232422,-83.04721069335938,-64.67375946044922,-78.83455657958984,-66.86454010009766,-7.906948852539062,-8.623373985290527,-56.11007308959961,-84.1042251586914,-70.58030700683594,-41.12101364135742,-57.10253143310547,-42.10841751098633,-59.71068572998047,-85.85347747802734,-73.34781646728516,-42.48054885864258,-58.438758850097656,-43.883338928222656,-5.64497709274292,-52.727420806884766,10,-55.19240951538086,-35.900001525878906,8,451
33,168,pilot,Hurricane Lorenzo (2007),Otra Nota,133,,8,4,-61.65536117553711,-45.21577835083008,-60.95347213745117,-42.893585205078125,-59.4430046081543,-38.38178634643555,-7.706920146942139,-11.30394458770752,8,4,-71.75837707519531,-53.65287399291992,-69.9017562866211,-48.40336990356445,-65.72332763671875,-44.63359069824219,-8.969797134399414,-13.41321849822998,-26.733144760131836,-40.47245788574219,-42.90594482421875,-36.92416763305664,-37.75446701049805,-31.45607566833496,-29.25010681152344,-38.81650161743164,-43.85860061645508,-39.056278228759766,-37.92716598510742,-33.61996078491211,-9.303367614746094,-39.75157928466797,8,-38.49808120727539,-25.538957595825195,4,304
34,152,pilot,Weather buoy,"Papal conclave, 1769",134,,2,10,-30.915945053100586,-51.54635238647461,-34.97848129272461,-46.439422607421875,-39.51079177856445,-41.49327850341797,-15.457972526550293,-5.154635238647461,2,10,-33.4850959777832,-58.78449630737305,-38.51679992675781,-60.19664001464844,-43.249305725097656,-47.555694580078125,-16.7425479888916,-5.878449630737305,-18.49049949645996,-78.1365966796875,-32.033634185791016,-45.862152099609375,-28.68477439880371,-48.92256164550781,-20.914535522460938,-78.63457489013672,-33.01637268066406,-51.609371185302734,-29.90454864501953,-50.4075927734375,-11.542020797729492,-27.06832504272461,2,-42.241512298583984,-27.603166580200195,10,436
35,228,pilot,HMS Hostile (H55),Devin Townsend,135,,8,2,-81.70996856689453,-26.3351993560791,-81.6976318359375,-25.611778259277344,-73.62586975097656,-25.977542877197266,-10.213746070861816,-13.16759967803955,8,2,-64.05997467041016,-31.739320755004883,-69.21316528320312,-31.114307403564453,-57.33209991455078,-28.006025314331055,-8.00749683380127,-15.869660377502441,-34.43452835083008,-33.68572998046875,-64.21439361572266,-17.583345413208008,-42.70735168457031,-21.651538848876953,-37.86673355102539,-35.431488037109375,-64.2905502319336,-22.085262298583984,-43.472843170166016,-23.790359497070312,-5.207566261291504,-40.71648406982422,8,-30.468000411987305,-17.97841453552246,2,203
36,64,pilot,"Saint Leonard Catholic Church (Madison, Nebraska)",Hurricane Omar (2008),136,,10,8,-72.27799987792969,-45.748416900634766,-72.51429748535156,-44.36693572998047,-69.2370376586914,-42.95698928833008,-7.227799987792968,-5.718552112579346,10,8,-83.15338897705078,-55.716331481933594,-84.03546905517578,-55.410701751708984,-82.92617797851562,-46.86009216308594,-8.315338897705079,-6.964541435241699,-62.128395080566406,-49.4898681640625,-65.8713607788086,-28.964771270751953,-57.92073059082031,-29.03036117553711,-64.88967895507812,-50.248477935791016,-70.31484985351562,-32.285011291503906,-59.96528625488281,-29.502456665039062,-8.38957405090332,-47.797672271728516,10,-30.092073440551758,-24.79054069519043,8,226
37,171,pilot,First Battle of Maryang San,"Waterfall Gully, South Australia",137,,6,7,-55.118263244628906,-44.68937683105469,-57.76363754272461,-43.91472244262695,-51.168846130371094,-45.194087982177734,-9.18637720743815,-6.384196690150669,6,7,-58.69409942626953,-54.03143310546875,-62.41773986816406,-54.1732177734375,-57.17961883544922,-50.73868942260742,-9.782349904378256,-7.718776157924107,-38.626014709472656,-57.33920669555664,-61.375431060791016,-43.9156494140625,-39.72327423095703,-49.08938980102539,-41.98574447631836,-58.523780822753906,-64.5134506225586,-43.83570098876953,-41.15512466430664,-47.26185607910156,-7.505580902099609,-36.604434967041016,6,-38.64109420776367,-30.004985809326172,7,373
38,244,pilot,"No result, Pts",Laurence Olivier,138,,5,3,-62.15996170043945,-22.49808692932129,-68.06875610351562,-22.21757698059082,-65.913818359375,-23.242197036743164,-12.431992340087891,-7.499362309773763,5,3,-74.05433654785156,-27.694868087768555,-75.5185775756836,-28.813791275024414,-78.7794418334961,-29.908771514892578,-14.810867309570312,-9.231622695922852,-52.14221954345703,-27.879047393798828,-60.50506591796875,-16.093706130981445,-51.12892532348633,-19.715410232543945,-53.522064208984375,-29.366655349731445,-59.465965270996094,-17.689512252807617,-50.48260498046875,-20.747093200683594,-18.301252365112305,-43.94010543823242,5,-32.144107818603516,-17.50387191772461,3,53
