stim_idx,doc_idx,pos,split,n_claims,cos_z,cos_empty,Δcos_all,cos_z_joined,cos_shuffle_order,cos_best_single_deletion,error
33,168,303,pilot,3,0.9256380498548303,0.41813658877849075,-0.5075014610763395,0.9253186534964853,0.9235034001143639,0.9121848772404967,
34,152,435,pilot,3,0.8721292975890945,0.3832546237103641,-0.4888746738787304,0.8802687966730566,0.8804014986810189,0.8723572904723584,
35,228,202,pilot,4,0.9355693404990043,0.42423467579801954,-0.5113346647009848,0.9362254362189139,0.908042908653649,0.9340459336492304,
36,64,225,pilot,4,0.8776994557850186,0.39376389861355227,-0.48393555717146636,0.8773771745606905,0.8536250750458149,0.8725219039388368,
37,171,372,pilot,4,0.8578541046282586,0.3515523421649009,-0.5063017624633577,0.8586880854796687,0.860084272649916,0.8475542871194264,
38,244,52,pilot,3,0.9057941825241568,0.4608515262113237,-0.4449426563128331,0.907199227976438,0.9047907922474512,0.904521107238236,
39,51,279,pilot,3,0.8895330079303785,0.2832617778496775,-0.6062712300807009,0.8942670997138766,0.8939652724375924,0.8877660202016696,
40,598,225,eval,4,0.8764560881634189,0.31508149870954455,-0.5613745894538744,0.8783395079079805,0.8700924993465896,0.8761365520470683,
41,351,142,eval,7,0.8451522502372644,0.5117262745363628,-0.3334259757009016,0.7969128731028461,0.7754187104229316,0.7998078372027114,
42,377,372,eval,3,0.9022261455224687,0.298296919470521,-0.6039292260519478,0.9014924920975325,0.9014924920975325,0.8911576863877866,
43,512,266,eval,3,0.8973881994501998,0.3324820607724267,-0.5649061386777731,0.896097097059039,0.8952020897671574,0.8909973479174599,
44,554,393,eval,3,0.8839904725358461,0.32691525211062217,-0.5570752204252238,0.8826682698749275,0.8786578806810224,0.8762045387134452,
45,202,178,eval,3,0.8848661629056508,0.42346047267391806,-0.4614056902317327,0.88442210846756,0.8704512379412153,0.8806222332708556,
46,493,146,eval,4,0.9126302376390062,0.35789290685500086,-0.5547373307840053,0.9145832276829355,0.9041788803840454,0.9087539244449584,
47,436,370,eval,3,0.8929812449451633,0.3542080002511649,-0.5387732446939983,0.8931650416796295,0.8931650416796295,0.8909039684044239,
48,32,40,eval,4,0.8996911309373561,0.45127342894233957,-0.4484177019950165,0.9005737687308702,0.8965761304886154,0.9003053633122113,
49,606,203,eval,3,0.8391334933586021,0.35788814722482953,-0.48124534613377257,0.8350255624249207,0.8506731387835661,0.8851288614417819,
50,611,214,eval,3,0.8940764736951006,0.3744466482442854,-0.5196298254508152,0.8957148195836993,0.8734693319397784,0.8845270674669381,
51,571,172,eval,4,0.8991241584243834,0.3344392745782137,-0.5646848838461698,0.8965087796548566,0.8837040923210375,0.8982505053719834,
52,154,408,eval,3,0.8549496520398193,0.32384763328192473,-0.5311020187578945,0.849817134374637,0.8401350159325687,0.8486448229268663,
53,575,55,eval,3,0.9140736077258251,0.4358817204496998,-0.4781918872761253,0.915929210207856,0.8978343273410648,0.9022720988540484,
54,316,348,eval,3,0.8647387305511626,0.28793070709742846,-0.576808023453734,0.8664916851248309,0.8531194491114626,0.8479820301865041,
55,395,300,eval,3,0.7994054719400961,0.43969957622995126,-0.3597058957101449,0.8010593289815721,0.7873586564003288,0.8062893857262092,
56,214,442,eval,5,0.8189734233163892,0.4567057788704074,-0.3622676444459818,0.8188491207122752,0.788098188315653,0.8197008588618658,
57,309,459,eval,4,0.8977141976973927,0.3404552560868106,-0.5572589416105821,0.8972842902644941,0.8954435438775102,0.8991226138768106,
58,107,365,eval,3,0.8961252919911622,0.36240867669272586,-0.5337166152984363,0.8989973241316727,0.8788770538096968,0.8777001529017598,
59,437,396,eval,3,0.8633531194606237,0.31230926302414896,-0.5510438564364747,0.8626226060441033,0.8564971702903756,0.8575717973330179,
60,133,298,eval,3,0.8909317153231097,0.3003787798552016,-0.590552935467908,0.8896287325047221,0.8896287325047221,0.8907266787272333,
61,330,510,eval,5,0.8937795982447434,0.34461530827441766,-0.5491642899703257,0.8925674236279574,0.872801945191676,0.8892443566728995,
62,215,485,eval,3,0.925907818840253,0.32799700617486705,-0.5979108126653859,0.9236042791334751,0.920562153932094,0.926585791916446,
63,311,325,eval,3,0.9020529767698311,0.34836937429736126,-0.5536836024724698,0.903422724044024,0.9109810561370839,0.895684848534398,
64,431,461,eval,3,0.9069603518111161,0.31293170299656503,-0.5940286488145511,0.904227705015572,0.904227705015572,0.9010230732161251,
65,505,463,eval,3,0.8709104170652038,0.31888991310501,-0.5520205039601938,0.8741557870475873,0.8565410182561649,0.8761646512982936,
66,487,457,eval,4,0.8872040192986572,0.37626630612723067,-0.5109377131714266,0.8895895672660153,0.8895895672660153,0.8915229067457338,
67,24,392,eval,5,0.8152549859747157,0.5006135001273221,-0.3146414858473936,0.8174810635295358,0.7820398356469066,0.8270390687135444,
68,248,40,eval,3,0.8677497710112528,0.22310716664104557,-0.6446426043702073,0.8655082247726291,0.8655082247726291,0.861042909960978,
69,595,331,eval,4,0.8693632494104001,0.40349399000958597,-0.46586925940081414,0.8730144186056648,0.8031468602895434,0.8734133256218711,
70,329,268,eval,3,0.9241751918755847,0.4718854174918755,-0.4522897743837092,0.9215644857059109,0.9215644857059109,0.9128929153465697,
71,513,394,eval,6,0.8892084802435517,0.3666096782703893,-0.5225988019731624,0.8886719655394895,0.8580105118510238,0.8877506599754853,
72,238,219,eval,3,0.9243353654254957,0.3967756806169788,-0.5275596848085169,0.9220743246660947,0.8968101759884278,0.9210404677112657,
73,104,251,eval,6,0.8158129468330602,0.5170844806200575,-0.29872846621300264,0.7565127847207189,0.7555741420956057,0.7749667401673708,
74,115,113,eval,3,0.9384561350386859,0.3881760024805071,-0.5502801325581788,0.9384793195100747,0.9295068366262965,0.9266888296081802,
75,129,40,eval,3,0.7981617598261463,0.21153252402010445,-0.5866292358060419,0.8024470308723225,0.7973081009098621,0.79602892881988,
76,622,484,eval,3,0.8165510187590126,0.09474201818706096,-0.7218090005719516,0.8162346448007387,0.8162346448007387,0.8047789748573834,
77,169,189,eval,3,0.8530178711007769,0.34282556261837765,-0.5101923084823992,0.8525374704248677,0.8546446304985024,0.849713096249333,
78,87,315,eval,3,0.7967841481608959,0.4877148834090785,-0.30906926475181745,0.7986581815957496,0.763523263309365,0.782925181456291,
79,60,24,eval,3,0.8839908756785633,0.39980173680966746,-0.4841891388688958,0.8829431992602728,0.8783723053505242,0.8765886088595525,
80,528,430,eval,3,0.9421320718734909,0.387839075474186,-0.5542929963993048,0.9389547379931953,0.927488362251988,0.9339040553826266,
81,149,218,eval,3,0.6792819898977669,0.304817349610305,-0.3744646402874619,0.6836425693375059,0.6836425693375059,0.6678815376157495,
82,207,224,eval,3,0.8091214132469876,0.3772451021128541,-0.4318763111341335,0.8073086595832638,0.7909563198949523,0.7991769384701657,
83,497,130,eval,3,0.9288348398295974,0.3429283363429786,-0.5859065034866188,0.9297460030712259,0.9215347594543091,0.9204697938169535,
84,69,54,eval,3,0.935528297211703,0.45799350878623457,-0.4775347884254685,0.9344777237395853,0.9344777237395853,0.9259147427207585,
85,173,155,eval,3,0.9251781633958069,0.4007854167814476,-0.5243927466143594,0.9258491841731774,0.9258491841731774,0.9197010237074261,
86,425,387,eval,3,0.8538310523407067,0.26510317810794365,-0.5887278742327631,0.8504203521311342,0.8093467126690626,0.8402266191810046,
87,413,474,eval,3,0.905171649212226,0.35776205612339573,-0.5474095930888303,0.9029884381886976,0.9097353028096724,0.9056961960183945,
88,537,73,eval,7,0.8836902098915548,0.4103747370919629,-0.47331547279959185,0.8813299890965534,0.869384477754621,0.8825451983217676,
89,272,377,eval,3,0.8916832463944765,0.26999136552487807,-0.6216918808695984,0.8927035777963822,0.8827763754236854,0.8832420216371113,
90,549,476,eval,3,0.8885074572422635,0.3505516955213771,-0.5379557617208864,0.8901344822843787,0.8596451796676745,0.8831883465644899,
91,219,496,eval,3,0.8898315713225826,0.29928353150828363,-0.590548039814299,0.8903829277055997,0.8903829277055997,0.8863341245436372,
92,531,23,eval,3,0.9057902970912707,0.3109660244151329,-0.5948242726761378,0.904168755241453,0.8711734221340182,0.9041303025414317,
93,416,444,eval,5,0.8981409504146745,0.39819035629228505,-0.4999505941223894,0.9012445950727201,0.8656547041857238,0.900555419482142,
94,576,502,eval,3,0.871936969390669,0.15475879862595274,-0.7171781707647162,0.8753719101485916,0.8102164523640258,0.8397559513871872,
95,297,490,eval,3,0.9066623617733167,0.3263442934093443,-0.5803180683639724,0.9074961908567434,0.9074961908567434,0.8979735560857879,
96,62,89,eval,3,0.8597305561292348,0.2812211387257781,-0.5785094174034566,0.8572705339782761,0.8504657837289324,0.8472551776696369,
97,5,498,eval,6,0.8639323374532557,0.3265730339467289,-0.5373593035065268,0.8612002093351467,0.8189081481669365,0.8666241949745729,
98,550,457,eval,5,0.8670939832591201,0.45631356820143787,-0.41078041505768226,0.8680278485139634,0.8637183000701257,0.8657172228468334,
99,337,423,eval,3,0.9029124553877792,0.40566437437271907,-0.49724808101506013,0.8995947460318777,0.8755431734999183,0.8935585795228903,
100,379,254,eval,3,0.8851544892279158,0.24366702213233266,-0.6414874670955832,0.8852030506326465,0.8776790109989687,0.8865294050804294,
101,538,131,eval,3,0.9157015132497454,0.43003182087925634,-0.485669692370489,0.9164935936984292,0.907596536413577,0.9057571790397582,
102,75,413,eval,4,0.9017038694486287,0.30909091294416347,-0.5926129565044652,0.903826109888618,0.896125520858262,0.9008177739368668,
103,95,474,eval,4,0.8927301864260383,0.1939235189586074,-0.6988066674674309,0.8924153500742098,0.8885631775766126,0.8892394454627067,
104,469,148,eval,3,0.8688086894865119,0.3409714243517994,-0.5278372651347125,0.8697055492897684,0.8606133914953504,0.871009415342831,
105,99,283,eval,3,0.9197639529033973,0.28907532199726954,-0.6306886309061277,0.9216806038059261,0.8968678528681475,0.9094555448081808,
106,381,235,eval,3,0.9022210723336441,0.3811671061919525,-0.5210539661416916,0.9032956435608321,0.8932534320390931,0.9044369816693156,
107,280,477,eval,3,0.9074540899319065,0.3773480534891382,-0.5301060364427683,0.9079263357459085,0.8944610030433918,0.9015088201229848,
108,91,36,eval,3,0.879589613575141,0.30630022940242885,-0.5732893841727121,0.879490881323028,0.8792157884888955,0.879711321270228,
109,303,379,eval,3,0.8641835947990718,0.2043951121030827,-0.6597884826959891,0.8640767453172878,0.856826850325905,0.8624042093062423,
110,160,320,eval,3,0.8688460975130029,0.28512936540200834,-0.5837167321109946,0.8719180873285054,0.8719180873285054,0.8635803479127522,
111,55,30,eval,3,0.8324446589130039,0.35928336655228926,-0.47316129236071464,0.8260071033132789,0.8111639638834641,0.8345677825275366,
112,591,372,eval,3,0.9158290738245534,0.4269652333327536,-0.48886384049179976,0.9166465926970538,0.8933623760747941,0.9083387155117046,
113,52,23,eval,4,0.9019248050295584,0.4299521137526375,-0.47197269127692093,0.8997902925747989,0.8920818149689456,0.9199665599664227,
114,47,391,eval,3,0.9010468338847171,0.2493185584521854,-0.6517282754325316,0.8948713497300185,0.87029507459922,0.8905212379123824,
115,415,270,eval,3,0.9051700277289001,0.3371410551229172,-0.5680289726059828,0.9043561917886016,0.9043561917886016,0.898155249449404,
116,212,476,eval,3,0.9133378872134441,0.3315977846432798,-0.5817401025701643,0.9139787734495802,0.8952344144131382,0.9113746059725025,
117,221,48,eval,3,0.8959252553986603,0.4278951415879727,-0.4680301138106876,0.897727195900486,0.8750261769776259,0.894343076765184,
118,567,433,eval,3,0.8628375938735265,0.3531728903025998,-0.5096647035709267,0.8614316915568416,0.8620282981365013,0.8482177215259209,
119,296,49,eval,3,0.8769603088237321,0.3341580931873554,-0.5428022156363768,0.8745600852710087,0.8744700463975672,0.8766104486005767,
120,393,186,eval,3,0.8793253036354206,0.2128084718590695,-0.6665168317763511,0.8734207301745668,0.8734207301745668,0.8540927022008258,
121,373,229,eval,3,0.9021923295943186,0.36527544764193753,-0.5369168819523811,0.9012901289094641,0.8802932488847515,0.8973849800463443,
122,281,495,eval,3,0.8471802088303045,0.27360541638008984,-0.5735747924502147,0.8460667905451095,0.8153552026024983,0.8480657466444369,
123,517,294,eval,3,0.9114355866431232,0.39142888325035097,-0.5200067033927722,0.9129546861654972,0.8682661100759962,0.9145555590404336,
124,419,144,eval,4,0.8840491072969107,0.3594247076414759,-0.5246243996554347,0.8844733181372582,0.8785616255670603,0.8934715145616399,
125,465,119,eval,3,0.8533871672516117,0.26713029683675843,-0.5862568704148532,0.8497863383770485,0.7919839707585895,0.8282746484941061,
126,464,124,eval,3,0.87194837729231,0.18191707081621716,-0.6900313064760928,0.8746681725629842,0.8612229644926791,0.8748341293841981,
127,557,77,eval,3,0.9152670107783298,0.33804974457740505,-0.5772172662009247,0.9146671053069961,0.9032427662709553,0.9067417815723462,
128,331,159,eval,3,0.918499494198178,0.3913660638392414,-0.5271334303589366,0.9178578774136236,0.8729128339826089,0.906603393142487,
129,98,306,eval,3,0.8332392602637032,0.28416277873325424,-0.549076481530449,0.8306298989775236,0.8306298989775236,0.8225693502362375,
130,26,290,eval,5,0.9160329404056763,0.4535976805948304,-0.4624352598108459,0.9148242301079539,0.8976470353051135,0.9109443845160846,
131,435,417,eval,3,0.8193717256599727,0.2802740573078682,-0.5390976683521045,0.8186682878977516,0.8186682878977516,0.798780362072091,
132,426,293,eval,3,0.9329782556800509,0.4359744602976276,-0.4970037953824233,0.9313874480633733,0.9313874480633733,0.9260513990336418,
133,223,159,eval,3,0.9142826284386373,0.3643482752395804,-0.5499343531990568,0.914114928079791,0.9117248212237534,0.9082847925846771,
134,97,220,eval,3,0.8971884566463244,0.24208005178407338,-0.6551084048622511,0.9029926266751397,0.8702112816798757,0.88946088004249,
135,33,421,eval,3,0.9020259253976409,0.3421126645179287,-0.5599132608797122,0.9025078017275789,0.8256147174721894,0.904354684447324,
136,96,368,eval,3,0.7847762112434621,0.480914385168052,-0.30386182607541007,0.7835982239445861,0.7178914880746942,0.7544164695781895,
137,540,331,eval,5,0.8901798521815971,0.41273009038693237,-0.47744976179466475,0.8896348299248923,0.887347965459247,0.88785338233739,
138,384,56,eval,3,0.8127081133470961,0.44264877710797,-0.3700593362391261,0.8137457262625087,0.8137457262625087,0.8010355087180817,
139,579,130,eval,3,0.9621672875997088,0.4071675359287015,-0.5549997516710073,0.9605542014652122,0.9418235595661228,0.9587877460238408,
140,315,28,eval,3,0.8914699055144052,0.38577906055912,-0.5056908449552853,0.8905715128023405,0.8751921010141037,0.8849026846914764,
141,317,484,eval,3,0.8873071523390885,0.3697868757737562,-0.5175202765653324,0.8866511710770699,0.8288244431175298,0.8747957603162985,
142,77,422,eval,3,0.8936654440042254,0.3463134494897061,-0.5473519945145193,0.8947340823787456,0.8947340823787456,0.8860096489820654,
143,105,36,eval,3,0.9083740210407427,0.49860507839998824,-0.4097689426407545,0.9065911990242247,0.8826652011756507,0.8995327446901961,
144,216,482,eval,5,0.8247890184424578,0.5055422517114466,-0.31924676673101116,0.8265701487326882,0.8049998792466603,0.8231596178798348,
145,359,310,eval,3,0.8646711882143121,0.2844018836867996,-0.5802693045275125,0.8660564004550024,0.8243471733362229,0.8491493361901131,
146,623,407,eval,3,0.9341455002882673,0.4716659835689495,-0.46247951671931775,0.9342864608958681,0.9342864608958681,0.9271823343833481,
147,289,442,eval,3,0.9067909056946184,0.3426384845715628,-0.5641524211230555,0.9046602851003999,0.8967352174160641,0.9083409022284843,
148,475,72,eval,3,0.8263336908754233,0.43038335843234027,-0.39595033244308303,0.8279952825019888,0.8279952825019888,0.8294199554477536,
149,376,66,eval,4,0.9625658066153824,0.41496986372162303,-0.5475959428937593,0.9616515961242385,0.9624252422261106,0.9615506540764708,
150,530,70,eval,3,0.9289029653903451,0.3025929510726095,-0.6263100143177356,0.9291664048736707,0.9305120474331263,0.925498910555164,
151,346,144,eval,3,0.9096310777940992,0.40255734811232896,-0.5070737296817702,0.9097921102182522,0.9029404389327599,0.9052929510508938,
152,172,275,eval,3,0.8977440975216446,0.30507877796004645,-0.5926653195615982,0.899631904711647,0.886111580498442,0.8921330771568077,
153,617,487,eval,4,0.8859772861442085,0.28574124769056314,-0.6002360384536454,0.882910021349204,0.8808268746762911,0.882733565696374,
154,348,330,eval,3,0.7939600912485353,0.2550616708810103,-0.538898420367525,0.7933319674765951,0.764813948058404,0.7796423423894167,
155,184,405,eval,4,0.9005202260376267,0.10584210961684765,-0.794678116420779,0.9002647452749715,0.8988488573530923,0.9001331833634721,
156,458,34,eval,3,0.8424208733745383,0.32270668512880757,-0.5197141882457308,0.8408937197510676,0.8408937197510676,0.8369712724166942,
157,501,218,eval,3,0.9179487936400337,0.40726959405769103,-0.5106791995823426,0.9170287875559042,0.9119675839629796,0.9065077274540849,
158,23,252,eval,3,0.8667564623040475,0.2134610138504858,-0.6532954484535617,0.8642447325404432,0.8054131494552073,0.8610441372906787,
159,490,229,eval,3,0.9033892069465512,0.35772250288163326,-0.5456667040649179,0.9058085708301185,0.8994680761017544,0.9050714606581305,
160,603,258,eval,4,0.8889499505732108,0.35849524047288245,-0.5304547101003283,0.889582031173558,0.8848774275065338,0.8812320674708138,
161,58,359,eval,3,0.9365982715743219,0.39341477133606867,-0.5431835002382532,0.9361025269202861,0.9267409773467696,0.9358228585558528,
162,264,19,eval,3,0.932809381344513,0.42038519376887373,-0.5124241875756392,0.9319288485706003,0.9397108046878472,0.9394635772740018,
163,529,503,eval,3,0.8839294496882174,0.3719288564261016,-0.5120005932621159,0.8857314638002067,0.8698133016790208,0.8829788002750867,
164,486,268,eval,4,0.7185959653579632,0.40246474754558403,-0.3161312178123792,0.7159451741481766,0.7018456899442338,0.7231799512910061,
165,85,332,eval,3,0.896738184698408,0.23741750332892375,-0.6593206813694843,0.8969051685571742,0.8918195972603592,0.9004863837767636,
166,498,97,eval,4,0.8138459147205434,0.20470897894870535,-0.609136935771838,0.8145685033047011,0.8040450794614927,0.8015077835258683,
167,424,331,eval,3,0.9109389179188779,0.3482022591814391,-0.5627366587374388,0.9119292540037863,0.8812651823768183,0.8921220095642216,
168,205,300,eval,3,0.9160499448691369,0.3669378575845188,-0.5491120872846181,0.9168265475790836,0.9168265475790836,0.9116359148122382,
169,263,381,eval,3,0.9533332633883294,0.3997943737569566,-0.5535388896313728,0.9520697979646353,0.9439241604909507,0.9424681003712996,
170,282,47,eval,3,0.906095090841974,0.40388665487814024,-0.5022084359638338,0.9033483817513265,0.8992805075867538,0.9019398654336485,
171,21,150,eval,3,0.8652746646088209,0.2639211247862556,-0.6013535398225652,0.8683766683935228,0.862440265076206,0.856718321396146,
172,448,150,eval,4,0.9240371641915289,0.42129322559934007,-0.5027439385921888,0.9229899721898415,0.9225490752180245,0.9277095335649513,
173,474,151,eval,3,0.9019273420170179,0.35611839963888214,-0.5458089423781357,0.901540114026997,0.8866171189648459,0.8986260442957488,
174,155,277,eval,4,0.8163772489571718,0.17523215255379815,-0.6411450964033736,0.8172447271834332,0.7867650284150657,0.8189106632962884,
175,125,296,eval,3,0.8492495845878457,0.5449742630355391,-0.30427532155230663,0.8552140539783675,0.81211181575279,0.8830965220939103,
176,429,493,eval,3,0.8908611083702643,0.3270504341078523,-0.563810674262412,0.8926573669539661,0.8926573669539661,0.8859722584550708,
177,273,327,eval,3,0.9284301856371583,0.29324182697155227,-0.635188358665606,0.9276798987814595,0.9063307989925854,0.9115000026760246,
178,61,510,eval,3,0.8345001342402306,0.2908108786727368,-0.5436892555674938,0.8353833477718561,0.8159016428979148,0.8284406555549192,
179,382,295,eval,3,0.8712666771788659,0.2790732316702873,-0.5921934455085786,0.8711707094256156,0.834586298809631,0.8771322855361753,
180,122,53,eval,4,0.8138537163815842,0.2112337463615996,-0.6026199700199846,0.8123261206140211,0.8015891662778674,0.8103499947813823,
181,535,39,eval,3,0.9028918830772029,0.3576349821072844,-0.5452569009699185,0.8985028805764179,0.8766114712611544,0.9169094549762923,
182,362,423,eval,3,0.8931599333133075,0.30924396584973113,-0.5839159674635763,0.8933282591987608,0.8848748366863689,0.8787466002621932,
183,81,353,eval,3,0.9427064972307378,0.4287703019096302,-0.5139361953211077,0.9409023162896435,0.9364177629563017,0.9397795746357891,
184,140,459,eval,4,0.8872834227206049,0.2135047391653818,-0.6737786835552231,0.887024196882896,0.872752233388562,0.8842959896946282,
185,226,302,eval,3,0.8713721687769267,0.43764918811277986,-0.43372298066414683,0.873525614475614,0.8716132010710839,0.8789495833635607,
186,461,368,eval,3,0.8894164536086431,0.3242543271572232,-0.5651621264514199,0.8900500817965001,0.8872073671508103,0.8831612456459632,
187,70,385,eval,3,0.9419940667536388,0.410797836986397,-0.5311962297672419,0.9432985063481826,0.9342771238513895,0.9372403075219806,
188,451,403,eval,3,0.7689345928145156,0.4540795953428253,-0.31485499747169027,0.7665422670708959,0.766951445525459,0.7596873213042675,
189,230,388,eval,3,0.8944654821075234,0.31498661293878677,-0.5794788691687367,0.8947386056173172,0.8947386056173172,0.8865597089262002,
190,504,168,eval,3,0.9288441812885642,0.26699216598082864,-0.6618520153077355,0.9294086657913885,0.916574528715468,0.9245940296701575,
191,45,276,eval,3,0.8108748146967543,0.24974801780867387,-0.5611267968880804,0.8135133036404522,0.8135133036404522,0.8062859482198075,
192,357,33,eval,5,0.9396834343563953,0.41475017148938864,-0.5249332628670067,0.9398164239715049,0.9381555737138617,0.9369367830396013,
193,2,237,eval,3,0.8979559908642112,0.31339235574005336,-0.5845636351241579,0.897070300899915,0.8591619147108626,0.8955664130419698,
194,92,285,eval,3,0.7998918292842319,0.3278236029264171,-0.47206822635781476,0.7969572300294558,0.7677502659681051,0.8014503078567274,
195,422,383,eval,3,0.8510677382603385,0.2581490560191835,-0.5929186822411551,0.8472337417921746,0.8499689346027728,0.8211811891625935,
196,189,278,eval,3,0.8834351287941226,0.31630870094016783,-0.5671264278539547,0.8824446564663594,0.8351089240627928,0.8783617660490917,
197,569,495,eval,3,0.9311390985379839,0.408816770807808,-0.522322327730176,0.9302282149977547,0.9240034414377505,0.9283769299961729,
198,170,412,eval,4,0.8918385403594774,0.3667922489079138,-0.5250462914515637,0.8890351182180122,0.8821202985306261,0.8957162161412828,
199,269,195,eval,4,0.9201978505110014,0.334804731984811,-0.5853931185261905,0.920480185043225,0.9055956973418009,0.9229770823830772,
