stim_idx,split,text_true,text_foreign,text_true_noinj,text_foreign_noinj,text_prefix_tokens
43,eval,-1.9769988059997559,-30.400850296020508,-17.062652587890625,-18.118440628051758,267
44,eval,-18.729516983032227,-45.24079513549805,-32.097110748291016,-20.915298461914062,394
45,eval,-10.383710861206055,-42.067752838134766,-31.34613609313965,-42.20884704589844,179
46,eval,-4.050604343414307,-23.243661880493164,-47.245513916015625,-19.067398071289062,147
47,eval,-1.4339358806610107,-49.30460739135742,-20.85629653930664,-31.259380340576172,371
48,eval,-1.2436078786849976,-42.398231506347656,-16.324766159057617,-27.06778907775879,41
49,eval,-15.167668342590332,-63.71998977661133,-39.3951530456543,-46.28940963745117,204
50,eval,-5.159852027893066,-72.40766906738281,-26.953062057495117,-41.224822998046875,215
51,eval,-6.412199974060059,-37.40076446533203,-38.574974060058594,-22.686059951782227,173
52,eval,-9.320706367492676,-49.16773223876953,-44.313270568847656,-26.768930435180664,409
53,eval,-6.574272632598877,-24.801149368286133,-43.8741340637207,-17.789045333862305,56
54,eval,-0.720215916633606,-25.53437042236328,-18.316329956054688,-14.527045249938965,349
55,eval,-11.874478340148926,-38.626739501953125,-28.99590301513672,-29.271339416503906,301
56,eval,-9.549906730651855,-32.150184631347656,-30.571500778198242,-20.528907775878906,443
57,eval,-2.230156660079956,-62.86848449707031,-35.32390213012695,-56.34396743774414,460
58,eval,-0.9952803254127502,-41.94161605834961,-18.257991790771484,-31.789901733398438,366
59,eval,-0.9642521142959595,-45.470367431640625,-20.807689666748047,-38.934322357177734,397
60,eval,-1.01729154586792,-44.01526641845703,-28.400699615478516,-31.670631408691406,299
61,eval,-10.363693237304688,-45.543643951416016,-28.222219467163086,-31.981157302856445,511
62,eval,-8.311871528625488,-58.85329818725586,-41.80434036254883,-49.51182174682617,486
63,eval,-5.112417221069336,-52.60387420654297,-39.33440399169922,-34.26060485839844,326
64,eval,-0.7855138778686523,-32.340797424316406,-21.574064254760742,-22.04402732849121,462
65,eval,-7.287661075592041,-50.83561325073242,-38.37664794921875,-37.66819763183594,464
66,eval,-1.1294031143188477,-27.965360641479492,-16.350513458251953,-21.154691696166992,458
67,eval,-2.212352752685547,-37.91997528076172,-42.902069091796875,-31.506898880004883,393
68,eval,-4.282409191131592,-62.62328338623047,-37.705421447753906,-41.365726470947266,41
69,eval,-3.078172206878662,-57.789981842041016,-22.86949920654297,-41.277462005615234,332
70,eval,-6.4202752113342285,-45.29790115356445,-23.983043670654297,-29.386886596679688,269
71,eval,-1.1724789142608643,-29.207569122314453,-32.418479919433594,-19.122167587280273,395
72,eval,-21.07073974609375,-51.05573272705078,-43.94010543823242,-35.45695114135742,220
73,eval,-10.704877853393555,-44.66873550415039,-28.060312271118164,-37.4385871887207,252
74,eval,-13.895539283752441,-28.749744415283203,-49.11692428588867,-20.06549835205078,114
75,eval,-8.895628929138184,-22.43915557861328,-18.191143035888672,-10.646934509277344,41
76,eval,-8.786949157714844,-32.34092712402344,-9.459434509277344,-22.806854248046875,485
77,eval,-2.415846586227417,-30.642736434936523,-15.704437255859375,-18.06844139099121,190
78,eval,-12.44685173034668,-61.58672332763672,-40.2208251953125,-43.796138763427734,316
79,eval,-2.2008984088897705,-47.782447814941406,-14.560338020324707,-49.92420196533203,25
80,eval,-4.279732704162598,-63.589210510253906,-29.518508911132812,-43.10753631591797,431
81,eval,-4.938004970550537,-34.41416931152344,-28.72460174560547,-29.522987365722656,219
82,eval,-2.9586117267608643,-31.266616821289062,-21.170242309570312,-23.745952606201172,225
83,eval,-2.7363364696502686,-41.220211029052734,-23.62047004699707,-20.790557861328125,131
84,eval,-5.749398708343506,-38.16205596923828,-41.94996643066406,-30.800487518310547,55
85,eval,-2.6212782859802246,-51.067405700683594,-27.999954223632812,-22.113460540771484,156
86,eval,-8.388094902038574,-45.75138854980469,-19.70728874206543,-31.265186309814453,388
87,eval,-1.2445226907730103,-34.444374084472656,-22.188901901245117,-26.298828125,475
88,eval,-6.603520393371582,-42.549442291259766,-34.54581832885742,-28.50961685180664,74
89,eval,-0.7715417146682739,-37.89750671386719,-26.016611099243164,-31.74799919128418,378
90,eval,-36.19091033935547,-34.754493713378906,-87.35504150390625,-15.77665901184082,477
91,eval,-0.38074013590812683,-29.29751205444336,-22.226612091064453,-19.070512771606445,497
92,eval,-5.748465538024902,-39.44365692138672,-31.280223846435547,-30.91946792602539,24
93,eval,-1.4382590055465698,-27.201339721679688,-47.854705810546875,-15.115586280822754,445
94,eval,-12.576669692993164,-44.035400390625,-35.30818557739258,-29.374616622924805,503
95,eval,-13.272058486938477,-32.31623458862305,-37.68316650390625,-24.15862274169922,491
96,eval,-0.3693241477012634,-31.298892974853516,-17.390348434448242,-15.45330810546875,90
97,eval,-11.745331764221191,-28.95931625366211,-37.828773498535156,-20.819875717163086,499
98,eval,-1.846747875213623,-114.58570861816406,-14.423681259155273,-90.6954116821289,458
99,eval,-0.40670400857925415,-34.451194763183594,-15.662034034729004,-23.323139190673828,424
100,eval,-7.547609806060791,-44.758277893066406,-23.067529678344727,-42.63676834106445,255
101,eval,-3.402462959289551,-21.590579986572266,-20.83878517150879,-13.585074424743652,132
102,eval,-1.3133045434951782,-31.58518409729004,-15.534737586975098,-24.48439598083496,414
103,eval,-9.636816024780273,-52.73105239868164,-28.393770217895508,-44.51813888549805,475
104,eval,-2.7521605491638184,-36.47087860107422,-36.021034240722656,-22.99979591369629,149
105,eval,-11.684816360473633,-23.809772491455078,-41.184356689453125,-19.917375564575195,284
106,eval,-0.655852198600769,-27.125436782836914,-23.521764755249023,-17.305763244628906,236
107,eval,-4.277878284454346,-31.222904205322266,-27.588226318359375,-29.150863647460938,478
108,eval,-8.205483436584473,-35.56716537475586,-33.49750900268555,-25.12731170654297,37
109,eval,-3.8428330421447754,-24.928747177124023,-37.76711654663086,-20.891353607177734,380
110,eval,-6.23768424987793,-32.965484619140625,-13.006309509277344,-14.868488311767578,321
111,eval,-11.754876136779785,-27.3159122467041,-36.78007507324219,-18.769935607910156,31
112,eval,-18.34822654724121,-37.20631408691406,-58.61112976074219,-27.934829711914062,373
113,eval,-1.1500940322875977,-37.56414794921875,-20.183454513549805,-35.1585693359375,24
114,eval,-8.357393264770508,-41.95417022705078,-56.19089889526367,-22.926651000976562,392
115,eval,-13.322367668151855,-33.7775993347168,-34.42289733886719,-25.954639434814453,271
116,eval,-17.52642250061035,-35.88507080078125,-28.78400421142578,-18.31005859375,477
117,eval,-14.088802337646484,-30.642318725585938,-34.340980529785156,-18.829090118408203,49
118,eval,-6.462917327880859,-32.985164642333984,-28.285903930664062,-18.299102783203125,434
119,eval,-1.3609254360198975,-37.124351501464844,-16.125320434570312,-25.142568588256836,50
120,eval,-10.014775276184082,-36.95944595336914,-32.38581466674805,-24.421260833740234,187
121,eval,-7.146782398223877,-37.73194122314453,-28.556081771850586,-19.486591339111328,230
122,eval,-11.221774101257324,-34.480751037597656,-69.57854461669922,-20.165485382080078,496
123,eval,-20.130630493164062,-33.7894172668457,-41.41037368774414,-25.50543212890625,295
124,eval,-2.630038022994995,-49.8217658996582,-29.69756507873535,-45.8410758972168,145
125,eval,-0.5776219964027405,-30.963939666748047,-21.766647338867188,-17.323226928710938,120
126,eval,-11.770955085754395,-41.19972610473633,-33.01644515991211,-22.694496154785156,125
127,eval,-3.760350227355957,-39.66770935058594,-23.153533935546875,-23.844894409179688,78
128,eval,-1.672115683555603,-34.7235107421875,-20.34091567993164,-19.2912654876709,160
129,eval,-12.326751708984375,-45.61368179321289,-57.994529724121094,-37.26290512084961,307
130,eval,-6.450123310089111,-37.192649841308594,-60.8919792175293,-28.462772369384766,291
131,eval,-1.145419716835022,-60.723854064941406,-26.230581283569336,-43.652320861816406,418
132,eval,-9.699325561523438,-55.34561538696289,-35.900001525878906,-52.727420806884766,294
133,eval,-3.2064144611358643,-49.59670639038086,-25.538957595825195,-39.75157928466797,160
134,eval,-13.99740219116211,-44.89817810058594,-27.603166580200195,-27.06832504272461,221
135,eval,-0.85523521900177,-53.659915924072266,-17.97841453552246,-40.71648406982422,422
136,eval,-8.289487838745117,-60.1632194519043,-24.79054069519043,-47.797672271728516,369
137,eval,-7.188564777374268,-45.57576370239258,-30.004985809326172,-36.604434967041016,332
138,eval,-2.463341236114502,-57.356632232666016,-17.50387191772461,-43.94010543823242,57
139,eval,-0.9097874760627747,-35.22979736328125,-17.554325103759766,-29.074251174926758,131
140,eval,-2.8010971546173096,-28.094009399414062,-20.57884979248047,-18.492795944213867,29
141,eval,-1.179114580154419,-37.93194580078125,-31.71902084350586,-32.34607696533203,485
142,eval,-0.6813912391662598,-40.393856048583984,-17.984277725219727,-35.880027770996094,423
143,eval,-1.8567744493484497,-23.01942253112793,-18.118440628051758,-17.062652587890625,37
144,eval,-1.156623363494873,-44.34543991088867,-20.915298461914062,-32.097110748291016,483
145,eval,-8.314202308654785,-34.424354553222656,-42.20884704589844,-31.34613609313965,311
146,eval,-0.6747981905937195,-57.24692916870117,-19.067398071289062,-47.245513916015625,408
147,eval,-9.367664337158203,-31.965009689331055,-31.259380340576172,-20.85629653930664,443
148,eval,-6.391659736633301,-28.595985412597656,-27.06778907775879,-16.324766159057617,73
149,eval,-6.839355945587158,-55.77496337890625,-46.28940963745117,-39.3951530456543,67
150,eval,-3.634773015975952,-40.16590118408203,-41.224822998046875,-26.953062057495117,71
151,eval,-0.7014225721359253,-54.12456130981445,-22.686059951782227,-38.574974060058594,145
152,eval,-7.247476577758789,-63.552913665771484,-26.768930435180664,-44.313270568847656,276
153,eval,-0.7159746289253235,-57.62821578979492,-17.789045333862305,-43.8741340637207,488
154,eval,-3.1345512866973877,-25.74766731262207,-14.527045249938965,-18.316329956054688,331
155,eval,-8.174696922302246,-38.70772933959961,-29.271339416503906,-28.99590301513672,406
156,eval,-5.267880439758301,-35.54194641113281,-20.528907775878906,-30.571500778198242,35
157,eval,-21.732267379760742,-51.97697067260742,-56.34396743774414,-35.32390213012695,219
158,eval,-3.1964669227600098,-24.98794174194336,-31.789901733398438,-18.257991790771484,253
159,eval,-13.725835800170898,-30.455005645751953,-38.934322357177734,-20.807689666748047,230
160,eval,-9.922845840454102,-43.469398498535156,-31.670631408691406,-28.400699615478516,259
161,eval,-10.091283798217773,-37.934913635253906,-31.981157302856445,-28.222219467163086,360
162,eval,-18.237524032592773,-45.845359802246094,-49.51182174682617,-41.80434036254883,20
163,eval,-8.812002182006836,-46.97112274169922,-34.26060485839844,-39.33440399169922,504
164,eval,-3.2519633769989014,-38.961021423339844,-22.04402732849121,-21.574064254760742,269
165,eval,-0.37535741925239563,-44.276023864746094,-37.66819763183594,-38.37664794921875,333
166,eval,-5.024799346923828,-24.638824462890625,-21.154691696166992,-16.350513458251953,98
167,eval,-11.903327941894531,-51.61288833618164,-31.506898880004883,-42.902069091796875,332
168,eval,-20.300765991210938,-46.23917007446289,-41.365726470947266,-37.705421447753906,301
169,eval,-3.805258274078369,-28.460121154785156,-41.277462005615234,-22.86949920654297,382
170,eval,-7.565855026245117,-33.349853515625,-29.386886596679688,-23.983043670654297,48
171,eval,-3.0734362602233887,-40.134376525878906,-19.122167587280273,-32.418479919433594,151
172,eval,-6.920581817626953,-58.778953552246094,-35.45695114135742,-43.94010543823242,151
173,eval,-7.415092468261719,-44.44205856323242,-37.4385871887207,-28.060312271118164,152
174,eval,-4.254387378692627,-54.13083267211914,-20.06549835205078,-49.11692428588867,278
175,eval,-0.9707159399986267,-36.851009368896484,-10.646934509277344,-18.191143035888672,297
176,eval,-1.3398518562316895,-18.142610549926758,-22.806854248046875,-9.459434509277344,494
177,eval,-0.2205064743757248,-26.149368286132812,-18.06844139099121,-15.704437255859375,328
178,eval,-5.351790904998779,-58.16912078857422,-43.796138763427734,-40.2208251953125,511
179,eval,-22.565017700195312,-26.21139144897461,-49.92420196533203,-14.560338020324707,296
180,eval,-6.936572074890137,-46.27246856689453,-43.10753631591797,-29.518508911132812,54
181,eval,-6.0863237380981445,-51.55670166015625,-29.522987365722656,-28.72460174560547,40
182,eval,-6.458993434906006,-29.777515411376953,-23.745952606201172,-21.170242309570312,424
183,eval,-3.392779588699341,-43.6002197265625,-20.790557861328125,-23.62047004699707,354
184,eval,-1.6638633012771606,-65.8121566772461,-30.800487518310547,-41.94996643066406,460
185,eval,-4.69926643371582,-45.152626037597656,-22.113460540771484,-27.999954223632812,303
186,eval,-9.847867965698242,-29.48447608947754,-31.265186309814453,-19.70728874206543,369
187,eval,-5.065731525421143,-34.153656005859375,-26.298828125,-22.188901901245117,386
188,eval,-7.777705192565918,-40.25380325317383,-28.50961685180664,-34.54581832885742,404
189,eval,-7.960900783538818,-40.24630355834961,-31.74799919128418,-26.016611099243164,389
190,eval,-1.3531579971313477,-117.82789611816406,-15.77665901184082,-87.35504150390625,169
191,eval,-5.929683685302734,-36.65375518798828,-19.070512771606445,-22.226612091064453,277
192,eval,-0.5820134878158569,-38.097877502441406,-30.91946792602539,-31.280223846435547,34
193,eval,-2.4644577503204346,-50.80857849121094,-15.115586280822754,-47.854705810546875,238
194,eval,-8.27543830871582,-43.60159683227539,-29.374616622924805,-35.30818557739258,286
195,eval,-4.356566905975342,-49.677425384521484,-24.15862274169922,-37.68316650390625,384
196,eval,-0.6133948564529419,-33.915504455566406,-15.45330810546875,-17.390348434448242,279
197,eval,-0.7877975106239319,-51.32938766479492,-20.819875717163086,-37.828773498535156,496
198,eval,-47.76295471191406,-23.99378204345703,-90.6954116821289,-14.423681259155273,413
199,eval,-1.6554465293884277,-21.99085807800293,-23.323139190673828,-15.662034034729004,196
