block,hidden_states_index,c3_n_cells,c3_d_entity,c3_d_entity_lo,c3_d_entity_hi,c3_d_phrasing,c3_d_phrasing_lo,c3_d_phrasing_hi,c3_ratio_entity_over_phrasing,c3_ratio_lo,c3_ratio_hi,c3_entity_minus_phrasing,c3_entity_minus_phrasing_lo,c3_entity_minus_phrasing_hi,c3_mean_norm,s3_n,s3_d_corr,s3_d_corr_lo,s3_d_corr_hi,s3_d_para,s3_d_para_lo,s3_d_para_hi,s3_corr_minus_para,s3_corr_minus_para_lo,s3_corr_minus_para_hi,s3_ratio_corr_over_para,s3_ratio_lo,s3_ratio_hi,s3_mean_norm
10,11,40,0.02322154045562826,0.010415218807349988,0.0407013799138824,0.009281321361391242,0.006102608073609377,0.013058837430781942,4.157354268588357,1.636782619948056,7.435098263551643,0.01394021909423702,-0.0005862294974135596,0.033369558198078776,55.640826034545896,490,0.031878629696416486,0.023443467844926288,0.03951686922251904,0.12302134370249534,0.11299508151813113,0.1322366657719276,-0.09114271400607883,-0.10063177457797493,-0.08179713669282371,0.46225957939657436,0.25963934765293895,0.7186921401292831,48.85604685569296
11,12,40,0.026683765892036103,0.011929744528250226,0.048186026569542934,0.01090557066268087,0.00755564762250197,0.014430989710638092,3.9816148676001966,1.53538366924529,7.204151418299587,0.01577819522935523,-0.0010605430408589347,0.03916378466391195,56.38919687271118,490,0.03458492850585651,0.025663505035489313,0.04248866809550005,0.13324102589554734,0.12334161629975789,0.14256968725806074,-0.09865609738969083,-0.10860003241752075,-0.08911170255126001,0.4689141954905181,0.26847536273481404,0.7284450906060019,50.789322288668885
12,13,40,0.028507199055038745,0.01271670856321781,0.05218436943031988,0.012645504669551805,0.008707247837038705,0.016688031948894327,3.56858224235177,1.4230994157719414,6.353453126996171,0.01586169438548694,-0.00250583998418816,0.041043527688271624,58.16695613861084,490,0.03709405663718629,0.02791799403149006,0.0453769123492209,0.14159618448465222,0.13174137880587436,0.15106409029747142,-0.10450212784746593,-0.11496015049072639,-0.09454223726480852,0.49152411594338286,0.27783358975691963,0.7865477359513204,51.599832939615055
13,14,40,0.03637132960687799,0.014889905442069268,0.07185585964413793,0.013473391489604936,0.00957446181305837,0.017559903716298397,3.892206952745748,1.4255305831899252,7.208557758620071,0.022897938117273052,-0.0008935509391218759,0.05977389822436154,62.842313575744626,490,0.03465427920165355,0.02648960442938202,0.04221425354306364,0.13023100302190307,0.12146470955105738,0.13870302490199604,-0.09557672382024952,-0.10470150114998973,-0.08681198213078896,0.47458378348451447,0.27772516391065266,0.7396350553579953,59.24027040442642
14,15,40,0.038393396958764245,0.016139577257138646,0.07619553931575608,0.014631922201591777,0.010569407049929307,0.018663545987947457,3.8028078855917173,1.3434159106061367,7.054418338738612,0.023761474757172475,-0.0008130899313207735,0.06258339693306586,64.71443605422974,490,0.03726397747086231,0.028629045503967155,0.0450962030648338,0.13531824094177097,0.12604573322227927,0.14453023411160737,-0.09805426347090863,-0.10785189496842912,-0.08897999402412593,0.48709885951715354,0.29034054593486663,0.7489633968333137,59.353100476946146
15,16,40,0.03522481465460849,0.015073352941623855,0.0693305759284651,0.014313198905169716,0.010302583413063811,0.01800997301698694,3.5699515746957333,1.2786978770328912,6.643588389741381,0.02091161574943878,-0.0009619797391664838,0.05630293898369702,72.0350845336914,490,0.03594757790677726,0.027969390756579664,0.04330010624081225,0.126424246713922,0.11817951568066658,0.13489994144935907,-0.09047666880714474,-0.09929829815515825,-0.08158366360897529,0.48798820775940777,0.3015614728315357,0.7304958021629484,66.2089964496846
16,17,40,0.04030703596362339,0.017696251974367284,0.07823020033144336,0.01790213854073732,0.012918857358830114,0.022596668374234134,3.3048864696080855,1.2360949913765964,6.021011734202434,0.02240489742288607,-0.002131434230223448,0.0619704037103612,71.53316287994384,490,0.03963538463778746,0.031195345461784388,0.0475205375056611,0.1374513758509132,0.12869564238863687,0.1465891795840087,-0.09781599121312574,-0.1075460316546192,-0.08858467528104445,0.4891658697568832,0.3017578436180784,0.7287982908350469,66.83506786579989
17,18,40,0.04211487498884816,0.019257307210210003,0.07987205405454578,0.020823284224660243,0.014384973170917893,0.027191321950865932,3.1066955590853054,1.2054769129463263,5.597739340701848,0.02129159076418792,-0.0037978431594144217,0.06121749737746534,73.79048709869384,490,0.04155676184915828,0.03287281451719891,0.049660148572771436,0.13847900296448543,0.1294086274593192,0.1474392657278914,-0.09692224111532713,-0.10661829198109991,-0.08794909679373908,0.4949121922963009,0.31068510914914926,0.7298479213681026,69.43432214698014
18,19,40,0.033952370696441934,0.01702933813944437,0.059989285787781094,0.019141606084070388,0.013030027603693532,0.025011844489473002,2.9015193886144823,1.1840802572473037,5.127460019601834,0.014810764612371546,-0.004324190931457752,0.043744417835752246,81.81858673095704,490,0.04086450189526037,0.03240499973780758,0.04853186295376568,0.13500785771120008,0.12604958523745638,0.14369849371056984,-0.0941433558159397,-0.10341025633965027,-0.08526134908014216,0.4947404393891259,0.3149285442058183,0.743046766861693,79.25376122922313
19,20,40,0.03372493837540329,0.017750584053480054,0.058355751676881694,0.021500093876105016,0.013889068561985485,0.02920169020364416,2.5376142325472615,1.1176296954787606,4.432009094438446,0.012224844499298271,-0.006764269326796046,0.03983999949826735,92.68736381530762,490,0.03951712392857132,0.03115470652746573,0.0470634435535431,0.13338587970597585,0.12425795331584277,0.14222515826003185,-0.0938687557774045,-0.10355211261960003,-0.08488104003018111,0.4910293257934084,0.30680708975046445,0.7515767146339485,93.84045998709543
20,21,40,0.032376839688895286,0.017883982724821793,0.05489966887146864,0.023533696369144114,0.014403114060637687,0.033359179698328356,2.3420605641615495,1.030729324020028,4.072681142300373,0.008843143319751176,-0.009482934895607701,0.03446796655984823,111.45925159454346,490,0.039523561603678585,0.03112006231907506,0.047218600861591,0.13357271092069203,0.12455349300866816,0.14228112109351013,-0.09404914931701346,-0.10375851182588025,-0.08445307746915647,0.5073756885144269,0.3097777447012844,0.7805940006388373,111.69477668295102
21,22,40,0.03565839168075896,0.019025775614903487,0.06005932396508903,0.026619429252733938,0.01463754352458368,0.041351164229678154,2.543187344265408,1.0389006871194362,4.570715261140128,0.00903896242802502,-0.011695832629064071,0.038335741112572326,138.29975395202638,490,0.03768462394119743,0.029359027023724376,0.04547596340705427,0.1282760874986274,0.11937526356471019,0.1367069434905647,-0.09059146355742997,-0.10022900729231457,-0.08145499608656345,0.49322801521223575,0.30665748085043454,0.7502659244887872,140.0352813720703
22,23,40,0.04196084760833878,0.0226727600689805,0.0703153537808139,0.02874620748169051,0.015288785185902034,0.04612428118732818,3.3851577518921148,1.1120620608356904,5.872588826877187,0.013214640126648265,-0.011905568502247572,0.04769169849925014,173.4157386779785,490,0.03891201903418665,0.030768528481527106,0.04714679343268888,0.13127852703319143,0.12200079617242073,0.13995538996585138,-0.09236650799900475,-0.10224583821976382,-0.08273245580988942,0.497380031690794,0.31746343422579293,0.7495227555046842,174.2916785103934
23,24,40,0.04864178260411707,0.025570121738148377,0.086235552331358,0.02756179422570925,0.014170904783837236,0.044879617192370075,4.663013765004663,1.258206975714349,8.285701326239579,0.02107998837840782,-0.008823428433893419,0.06414603702365537,228.40531578063965,490,0.03926444640440867,0.031230663753164287,0.04725655506656293,0.12555599528590417,0.1169899480661328,0.13399891807776873,-0.0862915488814955,-0.09550224798809039,-0.07761354142608683,0.5782837195999996,0.3409882476358965,0.9137253345979203,213.91658016905492
24,25,40,0.05095533658249678,0.026217912927732626,0.0915883399219914,0.026031006496923866,0.01401186088896042,0.04059209362121447,5.298729866626001,1.294523733963861,9.812230536141389,0.024924330085572915,-0.0068040104580983024,0.07114336935696147,290.23542137145995,490,0.036381632249065515,0.028619922412663923,0.044439532308857346,0.10952835676495079,0.10196911374662794,0.11707989241546754,-0.07314672451588528,-0.08138093588537346,-0.06510396363417287,0.5504616873980156,0.3501954572860227,0.8337559273934375,274.21391772834625
25,26,40,0.05376572026563673,0.02695230332953331,0.09742179916369974,0.026452009078177498,0.014307218185683588,0.04110863012216751,5.201907463838152,1.285658655193288,9.721346413486994,0.027313711187459233,-0.0066103656431301385,0.07602307421977628,353.15796661376953,490,0.036576215744719316,0.02893743583404387,0.04467580838622422,0.1123774628068073,0.10437615884240227,0.12002961935832311,-0.07580124706208798,-0.08426706611017254,-0.06757255049480351,0.4950083382278315,0.34203717809183154,0.6932907940792051,325.40930013851244
26,27,40,0.05093398252521588,0.026052554687964174,0.0916045686232617,0.025449705057005202,0.014137502091931077,0.03940871432500639,4.7493362964390675,1.2836108022487343,8.447145770218539,0.02548427746821068,-0.006712540558436046,0.07045237547930329,438.4217170715332,490,0.03609152013641533,0.02909574182998753,0.043356852482392336,0.10936053536252582,0.10190429598919484,0.11639005405256724,-0.07326901522611051,-0.080993915977291,-0.06568643473358057,0.46942102687022047,0.3497239462895687,0.6230429174176875,395.69820755939094
27,28,40,0.04176598958014256,0.01971798162536494,0.07808275343540959,0.025564597286253998,0.012869882921186876,0.04351850156917924,3.4133581302838807,1.0808014397590147,6.0855877114447905,0.01620139229388856,-0.012630579567518384,0.058603480422311144,328.1151458740234,490,0.04025134875283416,0.03062035163892309,0.049885780163533774,0.10723018061340168,0.09751524760321377,0.11702990605230193,-0.06697883186056752,-0.0783354838292513,-0.055927268164694656,0.536271167034504,0.40022752923758603,0.7020203361848597,321.83666549994024
