"idx","claim_no","claim_text","type","truth","evidence_span","note"
"3","4","example title ""A framework for..."" is in the list","detail","false","- CicArVarDB ... - Contagious Bovine ... - Farmer adoption ... - Forest-linked livelihoods ... - Geographic bias","no such title; invented but plausible"
"3","5","titles are each on a new line","detail","true","chickpea
- Contagious Bovine ... vaccines.
- Farmer adoption",""
"3","6","suggesting another complete title follows","forecast","unsupported","",""
"3","7","Final fragment is ""Latitudinal bias in citation rates of""","forecast","false","- Geographic bias in citation rates of","Geographic -> Latitudinal; plausible (same semantic field)"
"3","8","the final fragment is mid-title","forecast","true","- Geographic bias in citation rates of",""
"3","9","requiring a noun phrase completing the object","forecast","unsupported","",""
"3","10","likely a geographic or scientific publication type (e.g., ""tropical ecology journals,"" ""local researchers,"" or ""regional studies"")","forecast","unsupported","",""
"3","11","[quoted] ""Geographic bias in citations of""","detail","true","- Geographic bias in citation rates of","near-verbatim; ""citation rates"" rendered as ""citations"""
"3","12","strongly implies a bibliometric study about citation patterns","theme","true","Geographic bias in citation rates of",""
"3","13","likely referencing regional or country-specific scientific literature","forecast","unsupported","",""
"3","14","[quoted] ""Geographic origin and its effect on citation rates of""","detail","false","- Geographic bias in citation rates of","""Geographic bias"" -> ""Geographic origin and its effect on""; plausible rewording of the same title"
"3","15","likely completing with ""tropical ecology journals"" or regional conservation literature citations","forecast","unsupported","",""
"4","1","Journalistic event coverage style","theme","true","By: Anita Ambalavanan
March 19th was quite a colorful day at Washington's Lake Sammamish State Park",""
"4","2","describing a local Holi festival","theme","true","successfully celebrated their second big Holi Event, 'Holi Hai'",""
"4","3","organized by a nonprofit","detail","unsupported","","""action center"", ""volunteers"", ""support Vbha"" imply it but nonprofit is never stated"
"4","4","establishing context and impact","theme","true","it has accumulated more than 150 volunteers spreading the word about Vibha",""
"4","5","Narrative momentum building toward describing the organization's history and mission","theme","true","While the Vibha Seattle action center is rather young, only launching in October of 2012",""
"4","6","the paragraph introduces ""The Indian Student Association""","entity","false","While the Vibha Seattle action center is rather young","Vibha Seattle -> The Indian Student Association; plausible (Indian community organisation); ISA never appears"
"4","7","the paragraph introduces the organization's founding","detail","true","only launching in October of 2012",""
"4","8","setting up elaboration on their community work","theme","true","more than 150 volunteers spreading the word about Vibha",""
"4","9","setting up elaboration on the festival's significance","forecast","unsupported","",""
"4","10","""The annual"" is the final token","forecast","true","spreading the word about Vibha. The annual",""
"4","11","beginning a noun phrase that will name a recurring event or activity","forecast","unsupported","",""
"4","12","likely ""annual Holi festival"" or ""annual fundraiser""","forecast","unsupported","",""
"4","13","directly continuing the sentence about the organization's ongoing efforts","detail","false","spreading the word about Vibha. The annual","""The annual"" starts a new sentence after a full stop; it does not continue the volunteers sentence. Plausible"
"4","14","[quoted reconstruction] ""The Indian Student Association"" is the organisation","entity","false","Vibha Seattle successfully celebrated their second big Holi Event","Vibha Seattle -> Indian Student Association (inside quotation); plausible"
"4","15","[quoted reconstruction] has been working in the DC area","entity","false","at Washington's Lake Sammamish State Park ... Vibha Seattle","Seattle / Washington State -> DC area; plausible but likely a Washington-state/Washington-DC confusion"
"4","16","[quoted reconstruction] for the past two years","detail","unsupported","","text: launched October 2012, event year not given; duration not derivable"
"4","17","[quoted reconstruction] helping the Indian community","detail","unsupported","","text: ""children and adults of all ages and backgrounds""; beneficiaries not stated"
"4","18","[quoted reconstruction] helping the homeless","detail","unsupported","",""
"4","19","this phrase introduces a recurring event or milestone","forecast","unsupported","",""
"4","20","likely referencing the Holi festival or the upcoming year's event as the culmination of their fundraising efforts","forecast","unsupported","","""fundraising"" never appears in text"
"4","21","""The annual"" ends mid-[sentence]","forecast","true","about Vibha. The annual",""
"5","1","Technical case study","theme","true","The Jump Platform on Wellington Waterfront is a public facility ... monitoring showed that the water quality",""
"5","2","reporting measurable outcomes","theme","true","a median enterococci concentration of 460 CFU/100 mL",""
"5","3","of a stormwater treatment intervention","detail","true","two major stormwater catchments (Taranaki and Te Aro) ... Following the installation of an enclosure around the Jump Pla","intervention is an enclosure/baffle, not strictly ""treatment""; scored true on stormwater + intervention"
"5","4","the setting is Australian","entity","unsupported","","text names Wellington, Taranaki Wharf, Te Aro; no country named (protocol example case)"
"5","5","the setting is dairy farming","detail","false","a public facility ... The area is popular with swimmers and spectators and has created a focal point at the waterfront","urban waterfront swimming/jump platform -> dairy farming; FOREIGN domain"
"5","6","The narrative follows a before/after structure","theme","true","fell from a median value of 865 CFU/100mL prior to the baffle installation, to",""
"5","7","pre-intervention levels were high","detail","true","the water quality in the area exceeded the marine guidelines for recreational use",""
"5","8","the measured contaminant is E. coli","detail","false","a median enterococci concentration of 460 CFU/100 mL","enterococci -> E. coli (4 occurrences in explanation, scored once); plausible (both faecal indicator bacteria)"
"5","9","post-intervention results are now being quantified","theme","true","the surface water quality results show that the enterococci concentration fell from a median value of",""
"5","10","with specific statistics expected","forecast","unsupported","",""
"5","11","Final token is ""to""","forecast","true","prior to the baffle installation, to",""
"5","12","""to"" completes a comparative reduction phrase","detail","true","fell from a median value of 865 CFU/100mL prior to the baffle installation, to",""
"5","13","[quoted reconstruction] the counts measured are ""in the discharge""","detail","false","the surface water quality results show that the enterococci concentration fell","surface water at the platform -> ""the discharge""; plausible (stormwater discharge is mentioned as the source)"
"5","14","[quoted reconstruction] pre-intervention median was 1,000","detail","false","fell from a median value of 865 CFU/100mL prior to the baffle installation","865 -> 1,000 (also 460 earlier); plausible round number, same order of magnitude"
"5","15","[quoted reconstruction] unit is cfu/100L (also written cfu/L)","detail","false","865 CFU/100mL","CFU/100 mL -> cfu/100L and cfu/L; plausible unit garble"
"5","16","[quoted reconstruction] the intervention was a ""screen"" installation","detail","false","Following the installation of an enclosure around the Jump Platform area ... prior to the baffle installation","enclosure/baffle -> screen (3 occurrences, scored once); plausible"
"5","17","requiring a specific lower numeric value (e.g., ""approximately 200 cfu/100L"") to complete the sentence","forecast","unsupported","",""
"5","18","[quoted reconstruction] a significant reduction in the median counts was achieved with the installation","detail","true","the enterococci concentration fell from a median value of 865 CFU/100mL prior to the baffle installation, to","""significant"" not checkable (post value truncated); reduction itself is stated"
"6","1","Scientific paper","theme","true","Recent observational and theoretical studies have raised the possibility",""
"6","2","presenting theoretical findings","theme","true","Using a simple synchrotron emission model, we calculate the R-band afterglow light curves",""
"6","3","on GRB afterglow physics","detail","true","gamma-ray burst (GRB) sources ... R-band afterglow light curves",""
"6","4","establishing contrast between two emission contributions","theme","true","two distinct components: a narrow ... highly relativistic ... outflow ... and a wider ... surrounding flow",""
"6","5","the second component is a cocoon","entity","false","a wider (θj,w ≲ 3θj,n), moderately relativistic (ηw ∼ 10) surrounding flow ... the contribution of the wide component","""wide component / surrounding flow"" -> ""cocoon"" (5 occurrences, scored once); plausible (GRB jargon for a surrounding flow) but the word never appears"
"6","6","The abstract structure follows a pattern: motivation → method → results → implications","theme","true","Recent ... studies have raised the possibility ... Using a simple synchrotron emission model ... we find that",""
"6","7","the final sentence begins a conclusion about observational consequences","theme","true","For viewing angles θobs < θj,n we find that the contribution of the wide component to the optical after",""
"6","8","Final token is ""after""","forecast","true","the wide component to the optical after",""
"6","9","""after"" is the start of ""afterglow""","forecast","unsupported","","continuation not in text; ""afterglow"" does appear earlier (""R-band afterglow light curves"")"
"6","10","the phrase is ""the [component] contribution to the optical after""","detail","true","the contribution of the wide component to the optical after",""
"6","11","""optical afterglow"" is established terminology used throughout the text","detail","false","we calculate the R-band afterglow light curves","""optical afterglow"" never appears; ""afterglow"" appears once as ""R-band afterglow""; plausible (R-band is optical)"
"6","12","[quoted reconstruction] ""We find that""","detail","true","we find that the contribution of the wide component",""
"6","13","[quoted reconstruction] ""for typical parameters""","detail","false","For viewing angles θobs < θj,n we find","condition ""viewing angles θobs < θj,n"" -> ""typical parameters""; plausible"
"6","14","[quoted reconstruction] the second component can contribute significantly","detail","unsupported","","magnitude of contribution is truncated"
"6","15","the word ""afterglow"" is the immediate next token","forecast","unsupported","",""
"6","16","followed by a quantitative or conditional claim about the contribution magnitude","forecast","unsupported","",""
"6","17","[quoted reconstruction] ""our calculations show that""","detail","true","we calculate the R-band afterglow light curves ... we find that","paraphrase of ""we calculate ... we find"""
"6","18","the sentence is mid-clause","forecast","true","the wide component to the optical after",""
"6","19","requiring completion with ""glow observations"" or similar","forecast","unsupported","",""
"7","1","Aviation safety news report","theme","true","the FAA issued an emergency airworthiness directive (AD)",""
"7","2","following a structured incident-summary format","theme","true","As a result of an in-flight, Boeing 787 battery incident in Japan, the FAA issued",""
"7","3","the aircraft is the Boeing 737","entity","false","Boeing 787 battery incident in Japan ... operators of U.S.-registered, Boeing 787 aircraft","787 -> 737 (2 occurrences, scored once); plausible (same manufacturer, adjacent model number)"
"7","4","lithium-ion battery","detail","true","this second incident involving a lithium ion battery",""
"7","5","the events were battery fires","detail","unsupported","","text says ""battery incident"", ""battery failures"", ""potential battery fire risk""; no fire is stated to have occurred"
"7","6","NTSB investigation findings","entity","false","the FAA issued an emergency airworthiness directive ... demonstrate to the Federal Aviation Administration (FAA)","FAA -> NTSB (2 occurrences, scored once); plausible (US aviation safety agency); NTSB never appears"
"7","7","the text has been building toward explaining the technical cause of the battery failures","theme","true","The AD is prompted by this second incident involving a lithium ion battery. The battery failures resulted in",""
"7","8","the final sentence begins a causal explanation of what the battery failures produced","theme","true","The battery failures resulted in release of flammable electrolytes",""
"7","9","Final token is ""electrolytes""","forecast","true","release of flammable electrolytes",""
"7","10","""electrolytes"" ends a clause describing the failure/fire mechanism","detail","true","The battery failures resulted in release of flammable electrolytes",""
"7","11","[quoted reconstruction] ""The fires resulted in the release of flammable electrolytes""","detail","false","The battery failures resulted in release of flammable electrolytes","""battery failures"" -> ""fires""; plausible"
"7","12","immediately expecting continuation describing consequences or additional hazardous effects, such as ""and gases"" or ""which ignited""","forecast","unsupported","",""
"7","13","[quoted reconstruction] the battery failures were caused by internal short circuits","detail","unsupported","","no cause given in text"
"7","14","[quoted reconstruction] there were failures on two aircraft / two incidents","detail","true","The in-flight Japanese battery incident followed an earlier 787 battery incident that occurred on the ground in Boston",""
"7","15","[quoted reconstruction] the battery failures on both aircraft were similar in nature","detail","unsupported","",""
"7","16","expects continuation describing thermal runaway, smoke, or hazardous chemical release consequences","forecast","unsupported","",""
